elapsed_seconds,timesteps,return,length,max_x,completed
0.465,116,250.0,29,313,0
0.582,144,244.0,36,306,0
1.104,300,245.0,39,302,0
2.235,612,624.0,153,705,0
2.298,628,639.0,157,724,0
2.774,748,247.0,34,311,0
8.345,1112,637.0,91,704,0
8.855,1228,1031.0,232,1128,0
9.415,1364,239.0,34,302,0
9.858,1492,249.0,32,313,0
9.858,1492,1416.0,216,1514,0
10.756,1720,639.0,152,723,0
11.272,1872,231.0,38,295,0
11.738,2000,760.0,471,900,0
15.013,2128,250.0,32,314,0
15.951,2416,1027.0,231,1126,0
17.098,2736,1937.0,216,2019,0
17.128,2744,632.0,82,705,0
17.168,2756,1329.0,157,1415,0
17.554,2868,242.0,33,305,0
21.694,3332,984.0,460,1128,0
21.694,3332,1052.0,144,1128,0
21.993,3416,1069.0,137,1151,0
22.412,3528,1156.0,196,1246,0
22.443,3536,250.0,30,314,0
22.899,3656,250.0,30,314,0
23.717,3904,608.0,94,684,0
23.915,3964,1434.0,158,1522,0
24.156,4036,245.0,33,309,0
27.239,4132,1580.0,200,1676,0
27.42,4184,1054.0,132,1128,0
27.831,4304,241.0,30,305,0
27.882,4320,634.0,71,706,0
28.224,4424,611.0,73,681,0
28.933,4640,1345.0,169,1434,0
29.354,4768,243.0,32,307,0
29.75,4888,257.0,30,313,0
29.895,4932,1348.0,153,1435,0
30.208,5024,1343.0,180,1435,0
30.324,5060,244.0,32,307,0
33.431,5156,245.0,33,308,0
33.55,5192,235.0,33,298,0
33.784,5264,1314.0,210,1409,0
33.952,5316,231.0,40,296,0
34.069,5352,231.0,40,296,0
34.316,5424,231.0,40,296,0
34.507,5476,231.0,40,296,0
34.637,5512,231.0,40,296,0
34.872,5584,231.0,40,296,0
35.043,5636,231.0,40,296,0
35.16,5672,231.0,40,296,0
35.391,5744,231.0,40,296,0
35.562,5796,231.0,40,296,0
35.679,5832,231.0,40,296,0
35.911,5904,231.0,40,296,0
36.08,5956,231.0,40,296,0
36.196,5992,231.0,40,296,0
36.434,6064,231.0,40,296,0
36.621,6116,231.0,40,296,0
39.487,6152,231.0,40,296,0
39.722,6224,231.0,40,296,0
39.892,6276,231.0,40,296,0
40.01,6312,231.0,40,296,0
40.243,6384,231.0,40,296,0
40.414,6436,231.0,40,296,0
40.53,6472,231.0,40,296,0
40.762,6544,231.0,40,296,0
40.931,6596,231.0,40,296,0
41.047,6632,231.0,40,296,0
41.278,6704,231.0,40,296,0
41.447,6756,231.0,40,296,0
41.579,6792,231.0,40,296,0
41.826,6864,231.0,40,296,0
42.007,6916,231.0,40,296,0
42.138,6952,231.0,40,296,0
42.39,7024,231.0,40,296,0
42.574,7076,231.0,40,296,0
42.701,7112,231.0,40,296,0
45.742,7184,231.0,40,296,0
45.905,7236,231.0,40,296,0
46.016,7272,231.0,40,296,0
46.237,7344,231.0,40,296,0
46.399,7396,231.0,40,296,0
46.51,7432,231.0,40,296,0
46.739,7504,231.0,40,296,0
46.899,7556,231.0,40,296,0
47.01,7592,231.0,40,296,0
47.232,7664,231.0,40,296,0
47.392,7716,231.0,40,296,0
47.508,7752,231.0,40,296,0
47.742,7824,231.0,40,296,0
47.906,7876,231.0,40,296,0
48.02,7912,231.0,40,296,0
48.242,7984,231.0,40,296,0
48.402,8036,231.0,40,296,0
48.513,8072,231.0,40,296,0
48.735,8144,231.0,40,296,0
51.396,8196,231.0,40,296,0
51.508,8232,231.0,40,296,0
51.747,8304,231.0,40,296,0
51.914,8356,231.0,40,296,0
52.028,8392,231.0,40,296,0
52.254,8464,231.0,40,296,0
52.421,8516,231.0,40,296,0
52.535,8552,231.0,40,296,0
52.761,8624,231.0,40,296,0
52.924,8676,231.0,40,296,0
53.036,8712,231.0,40,296,0
53.261,8784,231.0,40,296,0
53.44,8836,231.0,40,296,0
53.552,8872,231.0,40,296,0
53.777,8944,231.0,40,296,0
53.941,8996,231.0,40,296,0
54.056,9032,231.0,40,296,0
54.293,9104,231.0,40,296,0
54.466,9156,231.0,40,296,0
54.579,9192,231.0,40,296,0
57.325,9264,231.0,40,296,0
57.487,9316,231.0,40,296,0
57.609,9352,231.0,40,296,0
57.835,9424,231.0,40,296,0
57.996,9476,231.0,40,296,0
58.108,9512,231.0,40,296,0
58.334,9584,231.0,40,296,0
58.495,9636,231.0,40,296,0
58.607,9672,231.0,40,296,0
58.831,9744,231.0,40,296,0
58.992,9796,231.0,40,296,0
59.103,9832,231.0,40,296,0
59.326,9904,231.0,40,296,0
59.487,9956,231.0,40,296,0
59.599,9992,231.0,40,296,0
59.822,10064,231.0,40,296,0
59.983,10116,231.0,40,296,0
60.128,10152,231.0,40,296,0
60.35,10224,231.0,40,296,0
63.084,10276,231.0,40,296,0
63.195,10312,231.0,40,296,0
63.416,10384,231.0,40,296,0
63.583,10436,231.0,40,296,0
63.704,10472,231.0,40,296,0
63.927,10544,231.0,40,296,0
64.103,10596,231.0,40,296,0
64.222,10632,231.0,40,296,0
64.486,10704,231.0,40,296,0
64.652,10756,231.0,40,296,0
64.766,10792,231.0,40,296,0
64.99,10864,231.0,40,296,0
65.156,10916,231.0,40,296,0
65.271,10952,231.0,40,296,0
65.499,11024,231.0,40,296,0
65.663,11076,231.0,40,296,0
65.774,11112,231.0,40,296,0
65.999,11184,231.0,40,296,0
66.166,11236,231.0,40,296,0
68.89,11272,231.0,40,296,0
69.112,11344,231.0,40,296,0
69.274,11396,231.0,40,296,0
69.384,11432,231.0,40,296,0
69.605,11504,231.0,40,296,0
69.765,11556,231.0,40,296,0
69.878,11592,231.0,40,296,0
70.099,11664,231.0,40,296,0
70.259,11716,231.0,40,296,0
70.373,11752,231.0,40,296,0
70.603,11824,231.0,40,296,0
70.764,11876,231.0,40,296,0
70.88,11912,231.0,40,296,0
71.102,11984,231.0,40,296,0
71.271,12036,231.0,40,296,0
71.392,12072,231.0,40,296,0
71.626,12144,231.0,40,296,0
71.79,12196,231.0,40,296,0
71.902,12232,231.0,40,296,0
74.682,12304,231.0,40,295,0
74.888,12356,231.0,40,296,0
75.002,12392,231.0,40,296,0
75.228,12464,231.0,40,296,0
75.388,12516,231.0,40,296,0
75.505,12552,231.0,40,296,0
75.727,12624,231.0,40,296,0
75.886,12676,231.0,40,296,0
75.998,12712,231.0,40,296,0
76.217,12784,231.0,40,296,0
76.379,12836,231.0,40,296,0
76.491,12872,231.0,40,296,0
76.61,12908,182.0,2005,638,0
76.722,12944,231.0,40,296,0
76.882,12996,231.0,40,296,0
76.994,13032,231.0,40,296,0
77.105,13068,231.0,40,296,0
77.214,13104,231.0,40,296,0
77.374,13156,231.0,40,296,0
77.486,13192,231.0,40,296,0
77.597,13228,231.0,40,296,0
77.708,13264,231.0,40,296,0
80.344,13316,231.0,40,296,0
80.446,13348,236.0,39,301,0
80.558,13384,235.0,39,298,0
81.043,13540,235.0,39,300,0
104.769,17816,404.0,1069,666,0
105.349,17976,231.0,40,296,0
105.815,18124,234.0,37,298,0
106.324,18284,231.0,40,296,0
106.454,18324,390.0,1265,699,0
106.699,18400,382.0,1263,691,0
109.346,18440,231.0,39,295,0
109.725,18560,231.0,40,296,0
