time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/clip_fraction,train/approx_kl
1024,1,253,74.66666666666667,4,374.8333333333333,,,,,,,,,,
2048,2,171,122.42857142857143,11,532.2142857142857,-0.00017440319061279297,4691.024017333984,0.004227919678669423,-1.5960207730531693,0.00025,0.2,4,1973.447265625,0.224609375,0.017060809
3072,3,168,123.25,18,643.4,0.0018788576126098633,4719.013671875,0.05955316708423197,-1.5292494744062424,0.00025,0.2,8,2181.6318359375,0.508544921875,0.12121867
4096,4,168,129.20689655172413,24,686.7586206896551,-0.0038251876831054688,6542.613250732422,0.08583764106151648,-1.2043650038540363,0.00025,0.2,12,2575.8330078125,0.552978515625,0.82093
5120,5,167,121.225,30,720.4,-0.00023806095123291016,6889.616607666016,0.010748884931672364,-1.0509467124938965,0.00025,0.2,16,2677.614990234375,0.330322265625,0.040897653
6144,6,167,97.71186440677967,36,581.457627118644,0.012488126754760742,8488.97055053711,0.183921217918396,-0.4361887079976441,0.00025,0.2,20,3826.531005859375,0.884521484375,4.4111714
7168,7,167,83.65384615384616,42,496.0897435897436,0.033223092555999756,8306.961547851562,1.208973117172718e-07,-0.0002790026513821431,0.00025,0.2,24,3963.039306640625,0.0,0.0
8192,8,167,75.10309278350516,48,444.16494845360825,0.03233039379119873,5738.731597900391,-6.002082955092192e-07,-0.00010526447789516169,0.00025,0.2,28,3038.1318359375,0.0,0.0
9216,9,168,58.92,54,370.39,0.03826969861984253,4926.872497558594,-2.470653271302581e-06,-0.000332355603745782,0.00025,0.2,32,2280.0751953125,0.0,0.0
10240,10,169,43.91,60,264.69,0.049290359020233154,3879.9192657470703,-1.0255287634208798e-05,-0.001031492301990511,0.00025,0.2,36,1849.4925537109375,0.0,5.7625584e-09
11264,11,169,40.0,66,231.0,0.06988745927810669,2952.256591796875,-1.57556205522269e-05,-0.0016008793572837021,0.00025,0.2,40,1613.1298828125,0.0,0.0
