elapsed_seconds,timesteps,return,length,max_x,completed
0.379,116,250.0,29,313,0
0.465,144,244.0,36,306,0
0.982,300,245.0,39,302,0
1.994,612,624.0,153,705,0
2.047,628,639.0,157,724,0
2.432,748,247.0,34,311,0
7.015,1240,1030.0,235,1127,0
9.386,1856,618.0,154,706,0
14.434,2424,999.0,419,1126,0
14.729,2516,781.0,165,865,0
15.106,2628,975.0,500,1127,0
15.64,2792,612.0,69,683,0
20.897,3536,1043.0,227,1128,0
21.075,3588,733.0,291,848,0
22.151,3924,602.0,97,677,0
26.119,4292,615.0,92,691,0
26.381,4376,870.0,1065,1128,0
26.518,4420,993.0,407,1125,0
26.785,4504,249.0,32,312,0
26.912,4544,255.0,31,312,0
31.551,5156,635.0,163,722,0
31.983,5292,1030.0,250,1126,0
32.008,5300,235.0,36,299,0
32.412,5428,243.0,32,305,0
32.827,5560,608.0,67,679,0
33.047,5628,1029.0,271,1137,0
33.376,5720,965.0,533,1123,0
33.477,5748,252.0,30,307,0
33.794,5840,258.0,30,314,0
34.395,5992,1044.0,141,1127,0
38.392,6396,612.0,101,689,0
39.08,6588,1025.0,257,1130,0
39.456,6696,799.0,237,899,0
39.917,6840,244.0,36,309,0
43.768,7212,786.0,343,900,0
43.851,7236,602.0,99,677,0
44.227,7348,809.0,190,899,0
44.656,7480,613.0,61,682,0
45.072,7612,604.0,100,680,0
45.704,7804,619.0,81,690,0
46.314,7992,1540.0,399,1668,0
49.715,8204,640.0,148,723,0
49.827,8240,1033.0,223,1125,0
50.453,8404,602.0,103,680,0
50.607,8452,748.0,162,837,0
50.827,8520,253.0,29,308,0
51.361,8688,229.0,42,294,0
51.662,8784,624.0,83,696,0
52.115,8924,1043.0,180,1129,0
52.498,9044,635.0,89,703,0
52.511,9048,257.0,31,314,0
56.289,9380,620.0,83,694,0
56.552,9464,1324.0,306,1434,0
57.706,9824,1850.0,260,1954,0
57.77,9844,628.0,95,704,0
58.773,10140,1328.0,190,1411,0
58.818,10152,631.0,82,704,0
61.964,10308,234.0,39,291,0
63.567,10784,1042.0,161,1127,0
63.992,10896,1667.0,463,1797,0
64.484,11040,241.0,36,299,0
64.522,11052,1410.0,302,1524,0
64.534,11056,619.0,68,689,0
64.836,11152,258.0,28,314,0
64.9,11172,255.0,30,312,0
64.961,11192,1040.0,221,1139,0
69.696,11576,612.0,101,683,0
69.893,11632,1046.0,120,1124,0
70.054,11680,721.0,122,801,0
70.305,11756,228.0,45,287,0
70.451,11800,236.0,42,295,0
70.686,11872,254.0,29,310,0
71.426,12060,1025.0,251,1129,0
75.668,12384,1160.0,146,1244,0
76.028,12468,646.0,149,722,0
76.912,12700,795.0,255,899,0
77.795,12940,1034.0,220,1127,0
78.32,13032,623.0,83,696,0
78.528,13080,252.0,35,309,0
78.821,13148,251.0,29,313,0
83.141,13444,623.0,91,692,0
83.25,13460,644.0,78,710,0
83.933,13632,1123.0,312,1238,0
84.491,13776,237.0,36,295,0
84.561,13796,631.0,88,698,0
84.743,13852,1006.0,346,1130,0
84.868,13892,248.0,29,311,0
85.432,14072,816.0,153,899,0
85.694,14128,658.0,83,722,0
85.92,14184,618.0,73,689,0
86.196,14244,251.0,29,314,0
86.562,14332,239.0,37,303,0
89.606,14376,246.0,33,302,0
89.828,14448,249.0,29,312,0
89.841,14452,1046.0,150,1129,0
89.881,14464,605.0,98,682,0
90.219,14572,248.0,30,311,0
90.861,14780,609.0,79,682,0
91.357,14940,605.0,92,681,0
91.665,15040,1039.0,166,1128,0
91.894,15112,231.0,43,289,0
95.48,15424,1027.0,244,1127,0
95.991,15588,240.0,41,298,0
96.25,15672,1030.0,223,1128,0
96.391,15716,1432.0,151,1518,0
96.736,15816,233.0,36,297,0
97.645,16072,1842.0,258,1938,0
98.823,16368,813.0,163,899,0
102.076,16568,1318.0,245,1416,0
102.443,16680,1343.0,216,1437,0
102.543,16712,235.0,36,299,0
102.895,16824,1339.0,188,1433,0
103.27,16936,251.0,28,312,0
103.598,17032,759.0,166,849,0
104.117,17192,237.0,40,295,0
104.192,17216,1048.0,126,1128,0
104.584,17340,242.0,31,305,0
107.812,17564,829.0,157,900,0
108.196,17684,251.0,30,307,0
108.276,17708,621.0,92,690,0
108.67,17824,241.0,35,298,0
108.683,17828,1026.0,287,1138,0
109.097,17948,243.0,31,307,0
109.901,18196,1039.0,251,1128,0
113.42,18468,1042.0,160,1129,0
113.567,18512,639.0,141,722,0
114.08,18668,236.0,39,300,0
114.455,18784,258.0,29,314,0
115.796,19200,1430.0,183,1516,0
119.43,19500,1046.0,179,1129,0
119.469,19512,1299.0,451,1435,0
119.671,19576,639.0,94,707,0
120.362,19796,1308.0,400,1433,0
121.467,20148,611.0,88,685,0
121.899,20276,1352.0,175,1436,0
121.912,20280,242.0,33,306,0
122.282,20400,254.0,30,309,0
122.319,20412,1145.0,225,1246,0
122.319,20412,1044.0,228,1129,0
125.496,20556,242.0,36,306,0
125.833,20664,639.0,97,709,0
126.033,20728,619.0,79,691,0
126.607,20912,630.0,89,703,0
126.866,20996,645.0,83,712,0
127.824,21292,1317.0,223,1415,0
127.824,21292,735.0,141,818,0
127.948,21332,638.0,84,705,0
127.984,21344,728.0,108,804,0
128.244,21428,246.0,34,310,0
131.559,21564,255.0,34,312,0
131.929,21684,257.0,30,313,0
132.042,21720,624.0,94,692,0
132.115,21744,621.0,103,691,0
132.401,21836,250.0,29,313,0
132.574,21892,243.0,37,301,0
133.615,22204,611.0,78,682,0
133.868,22276,647.0,148,723,0
134.074,22340,239.0,34,303,0
134.199,22380,1020.0,272,1127,0
134.301,22412,254.0,34,311,0
134.475,22464,252.0,31,315,0
134.675,22528,248.0,29,310,0
137.556,22644,248.0,29,311,0
137.806,22724,657.0,86,722,0
138.775,23020,1013.0,296,1127,0
139.209,23144,240.0,31,303,0
140.278,23404,1049.0,170,1138,0
140.727,23544,230.0,35,293,0
143.601,23632,1427.0,247,1526,0
144.621,23908,1010.0,361,1130,0
144.884,23992,1335.0,212,1426,0
144.922,24004,613.0,93,682,0
145.354,24144,242.0,35,307,0
145.354,24144,776.0,150,862,0
146.31,24452,653.0,77,722,0
149.89,24692,736.0,175,826,0
150.303,24824,246.0,33,301,0
150.948,25028,780.0,144,863,0
151.429,25180,1135.0,259,1241,0
151.816,25304,255.0,31,311,0
152.091,25392,771.0,371,899,0
152.496,25520,240.0,32,303,0
155.416,25632,637.0,151,722,0
155.505,25660,240.0,35,297,0
155.579,25684,613.0,95,687,0
156.205,25888,1054.0,266,1154,0
157.315,26236,826.0,144,900,0
157.809,26384,243.0,37,300,0
158.009,26448,1434.0,204,1528,0
161.288,26632,745.0,186,839,0
161.391,26664,611.0,70,681,0
161.59,26728,654.0,70,722,0
161.691,26760,1576.0,269,1677,0
161.863,26816,236.0,38,300,0
162.047,26876,229.0,37,294,0
162.498,27008,251.0,33,314,0
163.4,27284,620.0,69,690,0
164.124,27504,1332.0,218,1430,0
167.788,27856,620.0,88,694,0
169.176,28268,797.0,246,900,0
169.492,28360,1010.0,386,1139,0
169.953,28504,1875.0,436,2013,0
170.382,28644,235.0,35,298,0
173.834,28920,642.0,163,722,0
174.844,29240,1036.0,220,1131,0
175.192,29332,588.0,103,663,0
175.274,29356,251.0,29,314,0
175.731,29500,1278.0,411,1413,0
176.224,29660,639.0,82,713,0
179.008,29724,1020.0,270,1128,0
179.304,29812,250.0,38,308,0
181.189,30400,1355.0,169,1432,0
181.72,30572,1339.0,268,1435,0
184.836,30724,242.0,38,299,0
185.041,30788,805.0,244,899,0
185.844,31040,1669.0,421,1791,0
185.895,31056,623.0,67,694,0
186.269,31168,251.0,28,314,0
186.683,31296,256.0,32,313,0
186.825,31340,636.0,75,708,0
187.061,31412,254.0,29,310,0
187.087,31420,811.0,174,899,0
188.055,31696,1313.0,324,1432,0
191.279,31776,636.0,91,705,0
191.763,31928,731.0,127,804,0
192.563,32180,630.0,101,700,0
194.371,32704,1012.0,341,1127,0
197.372,32836,790.0,285,899,0
197.877,32996,1020.0,267,1127,0
198.596,33196,622.0,90,697,0
198.881,33280,1021.0,275,1128,0
199.391,33428,1338.0,181,1431,0
203.451,33888,593.0,115,673,0
205.047,34384,1323.0,276,1434,0
205.11,34404,745.0,129,819,0
205.344,34480,1404.0,321,1524,0
206.12,34732,618.0,82,691,0
206.12,34732,619.0,87,694,0
206.211,34760,631.0,70,703,0
209.423,34880,244.0,30,307,0
210.383,35188,639.0,77,704,0
210.633,35268,1275.0,568,1435,0
210.747,35304,254.0,29,310,0
211.243,35464,726.0,183,817,0
211.692,35608,635.0,85,709,0
215.321,35944,1564.0,303,1672,0
215.627,36040,1337.0,184,1429,0
216.045,36176,248.0,34,312,0
216.366,36280,621.0,84,694,0
216.489,36320,237.0,36,295,0
217.297,36580,1041.0,279,1152,0
221.141,36964,1037.0,161,1124,0
221.201,36984,1309.0,344,1433,0
221.25,37000,608.0,105,684,0
221.456,37068,1042.0,197,1128,0
221.656,37132,246.0,33,309,0
221.656,37132,232.0,42,291,0
222.703,37444,627.0,94,694,0
223.605,37720,814.0,184,898,0
224.13,37884,729.0,188,815,0
227.017,38000,818.0,139,898,0
227.03,38004,255.0,30,310,0
228.371,38432,732.0,107,810,0
228.786,38556,1011.0,356,1128,0
229.019,38624,1438.0,226,1531,0
229.251,38692,254.0,34,310,0
229.555,38784,713.0,196,801,0
233.097,39108,1342.0,169,1426,0
233.504,39228,763.0,151,849,0
233.57,39248,732.0,116,810,0
234.271,39468,624.0,90,692,0
234.644,39588,246.0,30,308,0
235.762,39928,810.0,175,899,0
238.748,40052,1337.0,201,1433,0
238.788,40064,1058.0,119,1129,0
239.24,40196,256.0,33,313,0
239.685,40308,251.0,28,314,0
239.94,40388,642.0,84,709,0
240.065,40428,251.0,30,314,0
240.631,40608,1335.0,170,1415,0
241.016,40732,248.0,31,311,0
241.077,40752,971.0,515,1127,0
241.298,40824,624.0,99,700,0
244.718,41072,653.0,80,722,0
245.683,41380,643.0,139,724,0
245.695,41384,712.0,163,799,0
247.283,41892,1316.0,376,1441,0
247.359,41916,649.0,134,723,0
247.564,41980,645.0,149,722,0
250.727,42112,1330.0,260,1428,0
251.039,42212,631.0,74,687,0
251.101,42232,249.0,30,312,0
251.444,42340,255.0,32,312,0
251.718,42424,608.0,111,680,0
252.003,42512,776.0,155,856,0
252.441,42648,601.0,104,670,0
252.842,42776,250.0,32,314,0
253.49,42948,738.0,131,820,0
257.312,43344,1315.0,251,1420,0
257.627,43444,819.0,167,898,0
258.399,43688,1311.0,294,1414,0
258.399,43688,617.0,86,690,0
258.529,43728,1339.0,195,1435,0
259.376,43976,761.0,133,836,0
262.267,44092,249.0,29,310,0
262.643,44212,251.0,30,313,0
262.994,44324,1052.0,149,1130,0
263.592,44504,1334.0,204,1430,0
263.604,44508,1333.0,205,1430,0
263.87,44588,645.0,94,706,0
264.277,44712,247.0,31,311,0
264.653,44832,248.0,30,311,0
265.011,44948,1043.0,156,1128,0
265.085,44972,241.0,35,305,0
268.475,45228,746.0,180,830,0
268.76,45308,634.0,90,701,0
268.789,45316,813.0,203,899,0
269.278,45452,237.0,34,300,0
269.583,45544,641.0,143,723,0
269.732,45592,603.0,91,679,0
270.297,45772,617.0,80,690,0
270.461,45824,747.0,129,828,0
270.51,45840,607.0,74,679,0
270.894,45964,245.0,31,309,0
273.922,46100,652.0,82,722,0
274.086,46152,642.0,82,709,0
274.49,46268,249.0,29,312,0
274.553,46288,604.0,81,678,0
274.875,46392,250.0,31,307,0
275.098,46464,1699.0,218,1796,0
275.393,46560,624.0,68,695,0
275.916,46728,606.0,84,679,0
276.74,46992,1417.0,223,1516,0
279.811,47124,250.0,33,314,0
280.064,47204,1145.0,185,1234,0
280.176,47240,254.0,29,310,0
281.135,47548,626.0,77,691,0
