elapsed_seconds,timesteps,return,length,max_x,completed
0.429,262612,251.0,28,314,0
0.445,262616,250.0,29,313,0
0.98,262760,242.0,36,299,0
1.477,262908,637.0,74,708,0
2.087,263104,622.0,86,695,0
2.494,263240,1038.0,185,1127,0
3.062,263428,1031.0,232,1131,0
6.187,263560,1051.0,114,1126,0
6.217,263568,1345.0,165,1434,0
6.649,263704,247.0,34,304,0
6.742,263736,1069.0,124,1150,0
7.603,264000,613.0,66,683,0
7.865,264088,619.0,132,689,0
7.96,264120,245.0,30,308,0
8.218,264200,1057.0,124,1128,0
8.39,264236,1140.0,202,1234,0
12.702,264616,826.0,132,899,0
13.168,264756,1342.0,159,1431,0
13.773,264944,627.0,82,701,0
13.944,265000,1593.0,200,1680,0
14.191,265084,239.0,35,296,0
14.942,265308,1694.0,268,1792,0
15.074,265348,772.0,148,851,0
15.088,265352,611.0,67,681,0
15.583,265464,251.0,28,314,0
18.988,265672,1345.0,168,1433,0
19.28,265760,612.0,103,689,0
19.592,265856,781.0,137,864,0
19.865,265936,722.0,118,800,0
20.594,266124,1074.0,113,1152,0
21.061,266264,627.0,82,701,0
21.275,266336,1047.0,120,1126,0
21.511,266416,1042.0,164,1129,0
21.675,266472,232.0,34,295,0
21.978,266576,655.0,78,724,0
24.626,266608,235.0,34,298,0
24.734,266640,1049.0,129,1129,0
25.05,266728,245.0,30,309,0
25.122,266748,628.0,83,701,0
25.846,266960,640.0,80,706,0
26.308,267092,246.0,33,302,0
26.452,267132,1151.0,139,1232,0
26.773,267224,245.0,33,302,0
26.872,267256,255.0,31,311,0
27.095,267332,1329.0,151,1413,0
27.632,267508,1046.0,190,1136,0
27.776,267556,654.0,83,724,0
31.056,267720,771.0,116,842,0
32.13,268068,1045.0,184,1129,0
32.364,268148,1042.0,160,1128,0
32.778,268288,247.0,35,303,0
32.931,268340,1149.0,155,1235,0
33.049,268380,630.0,78,702,0
33.11,268400,251.0,28,314,0
33.215,268436,1866.0,220,1966,0
36.758,268724,635.0,86,710,0
36.77,268728,635.0,82,702,0
