rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/n_updates,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
91.16,304,6.467399999999999,1,3,263524,,,,,,,,,,
94.25,219,6.7068,2,9,264548,1028,0.23467585444450378,0.008036096,0.5926997866481543,0.0001,-1.1951248943805695,0.2,0.5021679997444153,0.019775390625,-0.003536421660101041
98.1,192,6.932500000000001,3,15,265572,1032,0.24875259399414062,0.017101616,0.5503672380000353,0.0001,-1.1801638379693031,0.2,0.5535281896591187,0.101318359375,-0.00723538376041688
98.16,185,6.9973,4,22,266596,1036,0.39351117610931396,0.0040323255,0.8502198942005634,0.0001,-1.159153088927269,0.2,0.1740412712097168,0.010009765625,-0.00016834033885970712
96.19,183,6.830799999999999,5,27,267620,1040,0.30128979682922363,0.0035699247,0.7070957757532597,0.0001,-1.1349699050188065,0.2,0.46414506435394287,0.002197265625,-0.0007411479746224359
100.86,181,7.135399999999999,6,33,268644,1044,0.3063347041606903,0.014161611,0.7900611944496632,0.0001,-1.0918974578380585,0.2,0.437481164932251,0.036376953125,-0.004833893763134256
103.7,181,7.2796,7,39,269668,1048,0.3312896490097046,0.0025039008,0.6781477183103561,0.0001,-1.0548557341098785,0.2,0.3650491237640381,0.000732421875,-0.0014403247041627765
107.77,179,7.417600000000001,8,45,270692,1052,0.23636360466480255,0.013170689,0.5565881282091141,0.0001,-1.0936110615730286,0.2,0.47112810611724854,0.0546875,-0.0029613925144076347
108.98,179,7.532099999999999,9,51,271716,1056,0.26641589403152466,0.009840234,0.5977084245532751,0.0001,-1.1469357684254646,0.2,0.5400857925415039,0.0537109375,-0.004917818238027394
109.99,179,7.6826,10,57,272740,1060,0.25805795192718506,0.00027073978,0.6024515554308891,0.0001,-1.1309047862887383,0.2,0.5399874448776245,0.00146484375,0.00012205293751321733
109.98,179,7.634599999999999,11,62,273764,1064,0.19757792353630066,0.0017743714,0.5750338304787874,0.0001,-1.1552305072546005,0.2,0.6867161989212036,0.016357421875,-0.000926613254705444
108.17,179,7.565,12,68,274788,1068,0.3066377639770508,0.0024792678,0.6881674006581306,0.0001,-1.1568360701203346,0.2,0.45645779371261597,0.000244140625,-0.002425125741865486
108.5,179,7.6782,13,74,275812,1072,0.3059123158454895,0.0015531518,0.698148887604475,0.0001,-1.1214074492454529,0.2,0.4455620050430298,0.002197265625,0.0006829523335909471
109.71,177,7.774799999999999,14,80,276836,1076,0.1978955864906311,0.0007913643,0.4545056913048029,0.0001,-1.1474712789058685,0.2,0.45154011249542236,0.00830078125,0.0011599312565522268
109.28,177,7.706699999999999,15,86,277860,1080,0.26184356212615967,0.008691394,0.6461054757237434,0.0001,-1.1849822700023651,0.2,0.4611964225769043,0.0439453125,-0.0013933361624367535
108.45,178,7.629599999999999,16,92,278884,1084,0.36817848682403564,0.010601457,0.8133014589548111,0.0001,-1.1746584326028824,0.2,0.37401366233825684,0.041015625,-0.0037873117835260928
108.35,178,7.5783,17,97,279908,1088,0.33711934089660645,0.00025157945,0.8347681984305382,0.0001,-1.1651015803217888,0.2,0.442473828792572,0.0087890625,0.0013090565480524674
106.91,178,7.4996,18,103,280932,1092,0.250611811876297,0.0040304065,0.5705768913030624,0.0001,-1.143933154642582,0.2,0.5881707072257996,0.001708984375,-0.0022436658618971705
106.77,178,7.565500000000001,19,108,281956,1096,0.19586095213890076,0.009136095,0.5697200801223516,0.0001,-1.1370197013020515,0.2,0.5311819314956665,0.057373046875,-0.002936244956799783
107.66,178,7.665800000000001,20,114,282980,1100,0.36507558822631836,0.011288624,0.8128691054880619,0.0001,-1.1441519558429718,0.2,0.4894740581512451,0.05810546875,-0.004482806310988963
110.04,178,7.940300000000001,21,120,284004,1104,0.27000322937965393,0.00390726,0.6605786755681038,0.0001,-1.1786326169967651,0.2,0.47134917974472046,0.01904296875,-0.001117498439271003
107.43,176,7.887599999999999,22,127,285028,1108,0.27200543880462646,0.0033466127,0.6551145277917385,0.0001,-1.1599087193608284,0.2,0.4760834574699402,0.01513671875,-0.0014825131365796551
112.31,176,8.059400000000002,23,133,286052,1112,0.214016854763031,0.011644783,0.6284413244575262,0.0001,-1.150062844157219,0.2,0.4488289952278137,0.04736328125,-0.004887345712631941
107.72,176,7.8344,24,139,287076,1116,0.3824121654033661,0.0016978928,0.7572327665984631,0.0001,-1.1489650085568428,0.2,0.4952967166900635,0.012939453125,-0.0007277349359355867
112.12,176,8.0111,25,145,288100,1120,0.4207613170146942,0.007945068,0.9641051851212978,0.0001,-1.186471350491047,0.2,0.31654882431030273,0.062744140625,-0.0012621309724636376
115.86,175,8.3483,26,151,289124,1124,0.19757914543151855,0.0017494439,0.5309032406657934,0.0001,-1.197732850909233,0.2,0.439240038394928,0.00390625,-0.0015388828178402036
119.37,175,8.6664,27,157,290148,1128,0.37785640358924866,0.0068630036,0.8176345862448215,0.0001,-1.2252392247319221,0.2,0.0851287841796875,0.0146484375,-0.0024480143329128623
123.48,175,8.8193,28,163,291172,1132,0.5055946707725525,0.016855663,1.0274988375604153,0.0001,-1.2164035737514496,0.2,0.2675877809524536,0.090087890625,-0.006067037204047665
127.26,175,8.9797,29,169,292196,1136,0.3594781756401062,0.007167909,0.7912615239620209,0.0001,-1.2533108666539192,0.2,0.2777256369590759,0.0791015625,-0.000714158930350095
127.48,175,8.962599999999998,30,175,293220,1140,0.40275055170059204,0.0011276411,0.7409161068499088,0.0001,-1.2858686074614525,0.2,0.33607935905456543,0.002197265625,-0.0015529475640505552
125.62,174,8.8732,31,181,294244,1144,0.1940433233976364,0.010055238,0.5447827447205782,0.0001,-1.280823402106762,0.2,0.5385729074478149,0.033447265625,-0.002897226717323065
127.24,173,8.849300000000001,32,188,295268,1148,0.31856098771095276,0.0038102348,0.7582141757011414,0.0001,-1.2647109404206276,0.2,0.4838688373565674,0.000244140625,-0.0009412630461156368
129.07,173,8.9457,33,195,296292,1152,0.26682382822036743,0.0011553596,0.6248601078987122,0.0001,-1.269803337752819,0.2,0.525823712348938,0.000732421875,-0.0005639942828565836
129.79,172,8.9097,34,201,297316,1156,0.20622660219669342,0.0021207784,0.45054315589368343,0.0001,-1.241178698837757,0.2,0.6194882988929749,0.0,-0.001970365847228095
130.2,172,9.0406,35,208,298340,1160,0.26493892073631287,0.0066266656,0.6055627577006817,0.0001,-1.219079613685608,0.2,0.4191027283668518,0.004638671875,-0.0029019103676546365
127.66,171,8.8055,36,214,299364,1164,0.25764140486717224,0.0038441718,0.6346990764141083,0.0001,-1.2075204253196716,0.2,0.579688310623169,0.01171875,-0.003306349681224674
129.27,171,8.8397,37,221,300388,1168,0.35037681460380554,0.00414204,0.9741089753806591,0.0001,-1.2263369783759117,0.2,0.35629528760910034,0.01416015625,-0.0015556233993265778
124.58,170,8.4512,38,227,301412,1172,0.09069444239139557,0.0009952717,0.3024146454408765,0.0001,-1.232040822505951,0.2,0.7083678841590881,0.002197265625,8.783495286479592e-05
119.8,170,8.0989,39,234,302436,1176,0.40986937284469604,0.0057923347,0.9589973352849483,0.0001,-1.2131680399179459,0.2,0.3267558813095093,0.02685546875,-0.003208507550880313
117.7,169,7.917000000000001,40,241,303460,1180,0.3749544620513916,0.0016813704,0.8258327022194862,0.0001,-1.2422379404306412,0.2,0.279694139957428,0.00927734375,-0.00045064478763379157
115.46,169,7.765599999999999,41,247,304484,1184,0.302621454000473,0.002589717,0.7213081978261471,0.0001,-1.21905055642128,0.2,0.4686877131462097,0.01708984375,0.0006440040888264775
116.28,168,7.858800000000001,42,254,305508,1188,0.2999011278152466,0.0038230096,0.6735224314033985,0.0001,-1.2187399491667747,0.2,0.4481703042984009,0.0,-0.0016864501521922648
113.35,168,7.7216,43,261,306532,1192,0.25160911679267883,0.0031319298,0.5896165762096643,0.0001,-1.1698485761880875,0.2,0.5167572498321533,0.008056640625,-0.0014896100765326992
109.03,168,7.486999999999998,44,267,307556,1196,0.29119956493377686,0.00328428,0.7153928354382515,0.0001,-1.1774506717920303,0.2,0.515488862991333,0.00537109375,-0.00013765261974185705
104.62,168,7.200400000000001,45,273,308580,1200,0.27562010288238525,0.0049690483,0.6539684012532234,0.0001,-1.162899948656559,0.2,0.6092822551727295,0.009033203125,-0.0010836267902050167
102.29,168,7.0534,46,279,309604,1204,0.2787770926952362,0.0012297854,0.5756986979395151,0.0001,-1.153001457452774,0.2,0.5762444734573364,0.002197265625,-0.0017037380603142083
99.79,168,6.8348,47,285,310628,1208,0.360622376203537,0.0009084137,0.6939492709934711,0.0001,-1.1599139273166656,0.2,0.5290979146957397,0.01025390625,-0.000902517989743501
101.33,168,7.0428999999999995,48,291,311652,1212,0.1613687425851822,0.0040462203,0.46949684992432594,0.0001,-1.1479690000414848,0.2,0.5579062104225159,0.01806640625,-0.004351424635387957
101.0,168,6.959,49,297,312676,1216,0.3334980010986328,0.006284578,0.6911234967410564,0.0001,-1.1227208897471428,0.2,0.4039779305458069,0.0146484375,-0.0011120779818156734
103.18,168,7.2995,50,303,313700,1220,0.2968078851699829,0.00068260136,0.6504976376891136,0.0001,-1.0897492244839668,0.2,0.37670332193374634,0.00146484375,0.0004553571925498545
102.45,168,7.2435,51,310,314724,1224,0.1968821883201599,0.0028460259,0.4580234866589308,0.0001,-1.1282472163438797,0.2,0.47477465867996216,0.00341796875,-0.00037609273567795753
102.15,168,7.270599999999999,52,316,315748,1228,0.3294641375541687,0.0033944522,0.7718469984829426,0.0001,-1.1625165566802025,0.2,0.4852059483528137,0.03173828125,1.8365040887147188e-05
104.21,168,7.3979,53,322,316772,1232,0.17497947812080383,0.0062033525,0.488967202603817,0.0001,-1.1697559207677841,0.2,0.6191504001617432,0.00439453125,-0.003253869421314448
103.77,168,7.3557999999999995,54,327,317796,1236,0.21243269741535187,0.0056099296,0.43988499604165554,0.0001,-1.16500835865736,0.2,0.6201634407043457,0.0,-0.0016294375818688422
104.48,168,7.413,55,333,318820,1240,0.2194853276014328,0.005992134,0.6175985373556614,0.0001,-1.198098599910736,0.2,0.5322481393814087,0.014404296875,-0.000739476818125695
108.43,168,7.621600000000002,56,340,319844,1244,0.30525267124176025,0.0054943776,0.6179711855947971,0.0001,-1.1794823184609413,0.2,0.5294443964958191,0.010498046875,-0.0021043228916823864
104.64,168,7.4861,57,346,320868,1248,0.2707889676094055,0.016993707,0.6608422435820103,0.0001,-1.1802584901452065,0.2,0.4596729874610901,0.125244140625,-0.004165278980508447
107.41,168,7.477099999999999,58,353,321892,1252,0.37586748600006104,0.0020198072,0.7712458707392216,0.0001,-1.1989957466721535,0.2,0.4779086709022522,0.019287109375,0.0003807437897194177
104.7,168,7.339899999999999,59,359,322916,1256,0.15695494413375854,0.00054451433,0.38650286197662354,0.0001,-1.168961077928543,0.2,0.6548730731010437,0.0,-0.00033531567896716297
106.12,168,7.439799999999998,60,365,323940,1260,0.29646098613739014,0.011610384,0.7416966147720814,0.0001,-1.2352565452456474,0.2,0.2997456192970276,0.06640625,-0.0018176256271544844
107.66,167,7.6509,61,372,324964,1264,0.20222891867160797,0.010230407,0.5019845124334097,0.0001,-1.2183835729956627,0.2,0.5968499183654785,0.07568359375,-0.005530617665499449
107.16,167,7.6832,62,378,325988,1268,0.15416088700294495,0.0056033395,0.39079996198415756,0.0001,-1.1904379352927208,0.2,0.6514986157417297,0.009033203125,-0.0036684290098492056
