rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,train/loss
123.48,293,8.751100000000001,3,571604,1,,,,,,,,,,
121.12,216,8.7711,9,572628,2,0.2,-1.0813550278544426,0.001169676,-0.0004996061616111547,0.7739208936691284,0.0009765625,0.5108054876327515,2228,0.0001,0.34512874484062195
125.25,201,8.964500000000001,15,573652,3,0.2,-1.097065083682537,0.008040709,-0.0023324224894167855,0.7837815284729004,0.005126953125,0.5398013591766357,2232,0.0001,0.3087897300720215
129.8,191,9.2063,21,574676,4,0.2,-1.0978346765041351,0.0065836227,-0.0015667419065721333,0.7126510478556156,0.01171875,0.4538145661354065,2236,0.0001,0.34311559796333313
130.39,187,9.307200000000002,27,575700,5,0.2,-1.1073108166456223,0.0006960206,-0.001215378666529432,0.6201248466968536,0.0009765625,0.39396047592163086,2240,0.0001,0.2933884561061859
129.17,184,9.1905,33,576724,6,0.2,-1.1033024415373802,0.009804117,-0.004097240336704999,0.7761372290551662,0.045654296875,0.19616734981536865,2244,0.0001,0.29504743218421936
124.39,182,8.9766,39,577748,7,0.2,-1.0938490331172943,0.004108549,-0.002119957935065031,0.5258269719779491,0.008056640625,0.5399399995803833,2248,0.0001,0.22595840692520142
123.02,181,8.949399999999999,45,578772,8,0.2,-1.1335489675402641,0.012116915,-0.006197872251505032,0.9388609044253826,0.056884765625,0.4513964056968689,2252,0.0001,0.43309423327445984
121.34,180,8.819799999999999,51,579796,9,0.2,-1.1264937818050385,0.0013278995,0.00033624115167185664,0.7591390684247017,0.004150390625,0.30296945571899414,2256,0.0001,0.32348600029945374
116.45,179,8.581199999999999,56,580820,10,0.2,-1.1301725432276726,0.0021467886,-0.001342948293313384,0.7640358060598373,0.000732421875,0.41870540380477905,2260,0.0001,0.3949441909790039
114.88,179,8.302299999999999,62,581844,11,0.2,-1.1377229318022728,0.00025922398,0.0018279984942637384,0.9337982684373856,0.007080078125,0.48421168327331543,2264,0.0001,0.44478678703308105
114.92,178,8.198699999999999,68,582868,12,0.2,-1.143927164375782,0.00036039134,0.00022058840841054916,0.4335276838392019,0.0,0.5821276903152466,2268,0.0001,0.17406320571899414
116.38,178,8.2853,74,583892,13,0.2,-1.148530974984169,0.0007307011,-0.0020128531759837642,0.7032653465867043,0.010009765625,0.5373586416244507,2272,0.0001,0.33779898285865784
117.05,177,8.306999999999999,80,584916,14,0.2,-1.155166894197464,0.0019893674,-0.0014025645796209574,0.4084356985986233,0.000732421875,0.6233270764350891,2276,0.0001,0.17360521852970123
110.64,177,7.953200000000002,86,585940,15,0.2,-1.1449809074401855,0.0061379923,-0.0032148802129086107,0.3980598673224449,0.015380859375,0.7393090724945068,2280,0.0001,0.15846961736679077
115.45,176,8.311699999999998,92,586964,16,0.2,-1.1077469065785408,0.01719764,-0.008645113673992455,0.5658332426100969,0.123291015625,0.6338354349136353,2284,0.0001,0.23926642537117004
111.87,176,8.0189,98,587988,17,0.2,-1.1104604825377464,0.002294703,5.330750718712807e-05,0.46951224841177464,0.0078125,0.5773677825927734,2288,0.0001,0.15920446813106537
113.18,176,8.0399,104,589012,18,0.2,-1.116363875567913,0.001339674,-0.0004562030953820795,0.7343395724892616,0.004150390625,0.4242842197418213,2292,0.0001,0.32423004508018494
117.24,175,8.377600000000001,110,590036,19,0.2,-1.1006614565849304,0.001278495,-0.001449119343305938,0.49589638970792294,0.001953125,0.4841352701187134,2296,0.0001,0.1916900873184204
117.89,175,8.440700000000001,116,591060,20,0.2,-1.10893614590168,0.0005814289,-0.00048070908815134317,0.5433571916073561,0.004150390625,0.48111236095428467,2300,0.0001,0.2434004694223404
116.56,175,8.412400000000002,122,592084,21,0.2,-1.094497561454773,0.0049671903,-0.0020903021504636854,0.6167809944599867,0.01171875,0.5120473504066467,2304,0.0001,0.34013718366622925
122.95,175,8.859800000000002,128,593108,22,0.2,-1.0695348903536797,0.004507487,-0.0023072842159308493,0.8642218224704266,0.02001953125,0.41227948665618896,2308,0.0001,0.39270490407943726
118.82,175,8.827300000000001,134,594132,23,0.2,-1.0841144397854805,0.0047222846,-0.001816186704672873,0.5773680061101913,0.0078125,0.6657918095588684,2312,0.0001,0.27926361560821533
118.63,175,8.8775,140,595156,24,0.2,-1.084456093609333,0.0072680046,-0.0017473521293140948,1.2017619088292122,0.017333984375,0.4114380478858948,2316,0.0001,0.625249981880188
116.4,175,8.854199999999999,146,596180,25,0.2,-1.0821785852313042,0.0054497723,-0.0033627897209953517,0.6870968863368034,0.011474609375,0.5402199029922485,2320,0.0001,0.2942187190055847
116.18,174,8.8199,152,597204,26,0.2,-1.1028321236371994,0.0059444355,-0.0031758244440425187,1.0102168209850788,0.01953125,0.40058666467666626,2324,0.0001,0.4295721650123596
116.1,174,8.7068,158,598228,27,0.2,-1.1143820211291313,0.0060010813,-0.0032461560331285,0.4763287864625454,0.012451171875,0.5755707621574402,2328,0.0001,0.2128371000289917
120.25,174,8.9986,164,599252,28,0.2,-1.1100909486413002,0.00071412645,-0.00037839016295038164,0.5428037401288748,0.00341796875,0.7179217338562012,2332,0.0001,0.19968929886817932
118.95,174,8.9117,170,600276,29,0.2,-1.0799805521965027,0.005676564,-0.0037617835914716125,0.5481566358357668,0.0068359375,0.6079637408256531,2336,0.0001,0.19420892000198364
