time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss
898080,148.15,331,3,10.865099999999998,1,,,,,,,,,,
899104,149.33,230,8,10.939599999999999,2,0.0001,0.10546875,3500,-1.066604197025299,0.017163007,0.5929375886917114,0.2,0.2597997188568115,0.5652295351028442,-0.008098327089101076
900128,144.01,210,14,10.5273,3,0.0001,0.030029296875,3504,-1.0247746407985687,0.0066285906,0.6787686347961426,0.2,0.1648937612771988,0.5037555266171694,-0.006520207389257848
901152,144.68,201,20,10.643999999999998,4,0.0001,0.021484375,3508,-1.0403505489230156,0.0046054507,0.5453814268112183,0.2,0.36094948649406433,0.8386437073349953,-0.003621342868427746
902176,141.4,195,26,10.474400000000001,5,0.0001,0.048828125,3512,-1.0381804704666138,0.0040892875,0.7014920115470886,0.2,0.18907678127288818,0.45357475988566875,-0.004931452858727425
903200,145.82,193,31,10.7687,6,0.0001,0.051513671875,3516,-1.0572903528809547,0.004948546,0.47887980937957764,0.2,0.4273309111595154,0.7833352461457253,-0.0031075479491846636
904224,143.76,191,37,10.635399999999999,7,0.0001,0.01708984375,3520,-1.0598809942603111,0.006032655,0.7267581224441528,0.2,0.15066345036029816,0.41028571501374245,-0.006540705740917474
905248,140.9,190,42,10.377,8,0.0001,0.02197265625,3524,-1.0552800223231316,0.0068704234,0.5404566526412964,0.2,0.27966463565826416,0.7323993295431137,-0.0037586630787700415
906272,143.88,189,48,10.613600000000002,9,0.0001,0.084228515625,3528,-1.051895409822464,0.009105925,0.5395143032073975,0.2,0.16634416580200195,0.5548951867967844,-0.004260741989128292
907296,144.07,188,54,10.713400000000002,10,0.0001,0.014404296875,3532,-1.0583016872406006,0.003524084,0.6655154228210449,0.2,0.24821600317955017,0.6348839923739433,-0.0029137840610928833
908320,141.97,188,59,10.540999999999999,11,0.0001,0.04833984375,3536,-1.033628799021244,0.0030942904,0.685919463634491,0.2,0.2276495397090912,0.47882528603076935,-0.0038228986086323857
909344,143.53,187,65,10.835400000000002,12,0.0001,0.03515625,3540,-1.0431419909000397,0.004690218,0.6706609725952148,0.2,0.240738183259964,0.4935615062713623,-0.004043572611408308
