time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance
1061924,176.22,326,3,14.264899999999997,1,,,,,,,,,,
1062948,172.2,233,8,14.2274,2,0.0039376603,0.012451171875,0.3572774827480316,0.8738938942551613,-0.7282445356249809,0.0001,4140,-0.004112211638130248,0.2,0.5513485670089722
1063972,165.01,213,14,13.630999999999998,3,0.0043162317,0.0205078125,0.44265902042388916,0.9066236652433872,-0.7396864928305149,0.0001,4144,-0.0030044592858757824,0.2,0.6194391250610352
1064996,165.03,205,19,13.6779,4,0.0044520553,0.032470703125,0.40195098519325256,0.7864505872130394,-0.7750260718166828,0.0001,4148,-0.0037799609126523137,0.2,0.5247606635093689
1066020,158.93,201,25,13.302,5,0.005056793,0.025146484375,0.12643861770629883,0.47725142911076546,-0.7050666250288486,0.0001,4152,-0.0034342353319516405,0.2,0.6988457441329956
1067044,158.2,198,30,13.130400000000002,6,0.003038453,0.013671875,0.2993415296077728,0.8240514472126961,-0.7154981717467308,0.0001,4156,-0.0032058716169558465,0.2,0.6733078956604004
1068068,158.19,196,36,13.0048,7,0.008225156,0.045654296875,0.35865044593811035,0.8702650256454945,-0.7340711504220963,0.0001,4160,-0.005674460902810097,0.2,0.6184494495391846
1069092,161.48,195,42,13.244300000000003,8,0.006390705,0.038330078125,0.2858563959598541,0.6263129767030478,-0.7470897100865841,0.0001,4164,-0.004428238054970279,0.2,0.7289255857467651
1070116,162.27,193,47,13.3377,9,0.007741537,0.04541015625,0.1896190196275711,0.4944153968244791,-0.7877445258200169,0.0001,4168,-0.005380580143537372,0.2,0.7849520444869995
1071140,163.29,192,53,13.4255,10,0.017917762,0.118896484375,0.3804401457309723,0.9202108755707741,-0.7683881483972073,0.0001,4172,-0.006979839599807747,0.2,0.6148599982261658
1072164,163.46,192,58,13.508099999999999,11,0.0020564338,0.004638671875,0.4402064085006714,0.8034978397190571,-0.7346783205866814,0.0001,4176,-0.004848087293794379,0.2,0.6501337289810181
1073188,161.64,190,64,13.3211,12,0.0064588967,0.0576171875,0.25582295656204224,0.7028519213199615,-0.7829142585396767,0.0001,4180,-0.007954384651384316,0.2,0.7241976857185364
1074212,163.95,190,69,13.481100000000003,13,0.007797673,0.0625,0.3752421736717224,0.8313026688992977,-0.7708164267241955,0.0001,4184,-0.008207752252928913,0.2,0.575940728187561
1075236,167.48,190,75,13.7394,14,0.008449821,0.07177734375,0.26523536443710327,0.6568496655672789,-0.7748849838972092,0.0001,4188,-0.0069180227583274245,0.2,0.7517635822296143
1076260,168.42,189,80,13.9661,15,0.0058973273,0.0498046875,0.2643750309944153,0.6190699208527803,-0.7334234043955803,0.0001,4192,-0.0046167187101673335,0.2,0.7673444747924805
