time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/clip_range,train/loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance
1,321,292.39,1709796,29.2525,3,,,,,,,,,,
2,227,293.74,1710820,29.321700000000007,8,-0.40636295825242996,0.2,0.040536560118198395,0.14753173105418682,0.008323639,0.0001,0.06396484375,6663,-0.008724618586711586,0.9660888910293579
3,207,289.58,1711844,29.050099999999997,14,-0.4852901492267847,0.2,0.016776837408542633,0.13469576835632324,0.007555384,0.0001,0.060546875,6667,-0.00786748515383806,0.9834430813789368
4,200,289.93,1712868,29.051399999999997,20,-0.43945509754121304,0.2,0.4864194393157959,1.0884379260241985,0.0035337526,0.0001,0.029296875,6671,-0.002647817163961008,0.8813151717185974
5,196,289.43,1713892,28.885299999999997,26,-0.5586874485015869,0.2,0.011253530159592628,0.09625731129199266,0.008119395,0.0001,0.053955078125,6675,-0.006236902845557779,0.9910248517990112
6,194,289.77,1714916,28.884799999999995,31,-0.5682687535881996,0.2,0.1232750415802002,0.49286395497620106,0.006753554,0.0001,0.0302734375,6679,-0.0055106558138504624,0.9508019685745239
7,192,290.48,1715940,28.884100000000004,37,-0.5598471909761429,0.2,0.041993897408246994,0.12971433950588107,0.0066282745,0.0001,0.05615234375,6683,-0.0031108582043088973,0.9812636971473694
8,190,290.47,1716964,28.883700000000005,42,-0.4831364005804062,0.2,-0.00830969400703907,0.031178351491689682,0.0050720097,0.0001,0.05224609375,6687,-0.007118110457668081,0.993977427482605
9,189,284.99,1717988,28.413799999999995,48,-0.4960795193910599,0.2,0.008369334042072296,0.049159640446305275,0.00637315,0.0001,0.033935546875,6691,-0.006686390610411763,0.9930750131607056
10,188,284.28,1719012,28.413500000000003,54,-0.42400381714105606,0.2,0.6305581331253052,1.4393903836607933,0.0072400267,0.0001,0.05126953125,6695,-0.0013199845561757684,0.8223984241485596
11,187,283.61,1720036,28.347799999999996,59,-0.524721797555685,0.2,0.03686869516968727,0.17186956852674484,0.003857236,0.0001,0.021484375,6699,-0.008007046242710203,0.9740996360778809
12,187,284.16,1721060,28.417299999999997,65,-0.4884823802858591,0.2,0.32219183444976807,0.5204276451840997,0.00935897,0.0001,0.031494140625,6703,-0.002989782311487943,0.9395135641098022
13,186,282.78,1722084,28.334300000000002,71,-0.6074654906988144,0.2,0.025419821962714195,0.08905261801555753,0.009281121,0.0001,0.07666015625,6707,-0.008998052799142897,0.990021824836731
