time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/entropy_loss
2005992,1,29.902800000000003,170,6,290.01,,,,,,,,,,
2007016,2,30.041600000000003,135,15,290.47,0.03955078125,0.0049386434,0.9962480664253235,0.2,-0.0066131362691521645,0.0001,7815,-0.005096554552437738,0.02083276683697477,-0.3594220895320177
2008040,3,29.902199999999993,127,24,289.59,0.02783203125,0.0052943067,0.9992655515670776,0.2,-0.019990840926766396,0.0001,7819,-0.0076963161991443485,0.005589047359535471,-0.4004766922444105
2009064,4,30.024599999999996,123,33,290.56,0.03662109375,0.0085632,0.9616174101829529,0.2,0.2064201384782791,0.0001,7823,-0.0017457819485571235,0.44128796737641096,-0.5066745150834322
2010088,5,30.022799999999997,105,48,292.12,0.02587890625,0.005147613,0.9954308867454529,0.2,-0.0059100911021232605,0.0001,7827,-0.003559361706720665,0.031221804558299482,-0.48150462470948696
2011112,6,29.955000000000005,105,58,292.14,0.0400390625,0.01572902,0.9836990833282471,0.2,0.01563575118780136,0.0001,7831,-0.006879987544380128,0.12077163346111774,-0.5475193932652473
2012136,7,30.187500000000004,106,67,293.42,0.010498046875,0.0034584452,0.933509349822998,0.2,0.32544228434562683,0.0001,7835,-0.0038938234210945666,0.6537848226726055,-0.5102825984358788
2013160,8,30.187799999999996,106,77,294.16,0.044189453125,0.006718782,0.9935445785522461,0.2,-0.006517831236124039,0.0001,7839,-0.00936283014016226,0.05249473708681762,-0.45733424834907055
2014184,9,30.2143,107,85,295.35,0.041015625,0.0083049815,0.9978338479995728,0.2,-0.02603111043572426,0.0001,7843,-0.009159841487416998,0.018467320885974914,-0.463522095233202
2015208,10,30.217100000000002,107,95,293.97,0.0947265625,0.014522914,0.958745002746582,0.2,0.1704225242137909,0.0001,7847,-0.005612855544313788,0.4412999339401722,-0.5358369927853346
2016232,11,30.094,107,104,293.36,0.018798828125,0.0035674716,0.9949158430099487,0.2,0.0037585673853754997,0.0001,7851,-0.00581306655658409,0.043565681437030435,-0.46359651908278465
2017256,12,30.090300000000003,107,114,294.27,0.0166015625,0.0037475033,0.938733696937561,0.2,0.14382468163967133,0.0001,7855,-0.002444910176564008,0.42572917975485325,-0.4168486762791872
2018280,13,30.090800000000005,106,124,294.58,0.033203125,0.0058739427,0.9971418380737305,0.2,-0.015209210105240345,0.0001,7859,-0.006072593008866534,0.02542236167937517,-0.45099662244319916
2019304,14,30.0893,106,134,295.15,0.0546875,0.00898514,0.9948387145996094,0.2,0.007748674135655165,0.0001,7863,-0.006810036022216082,0.04360069311223924,-0.4682172778993845
2020328,15,30.0894,107,143,295.02,0.057373046875,0.012367387,0.9938796758651733,0.2,-0.0006877835839986801,0.0001,7867,-0.008542910014512017,0.05214855563826859,-0.5104472395032644
2021352,16,29.726100000000002,107,153,290.98,0.044189453125,0.0090104025,0.9953990578651428,0.2,-0.013526927679777145,0.0001,7871,-0.008169333217665553,0.04013962484896183,-0.491489065811038
2022376,17,29.7295,106,162,290.45,0.021240234375,0.004495169,0.8180729150772095,0.2,0.5581408143043518,0.0001,7875,-0.0065550466533750296,1.1738377548754215,-0.34455217234790325
2023400,18,29.656999999999993,107,171,290.41,0.024169921875,0.0051360773,0.991233229637146,0.2,0.005831029266119003,0.0001,7879,-0.00628803123254329,0.08076087874360383,-0.4201507084071636
2024424,19,29.6586,107,180,289.24,0.030029296875,0.0035993233,0.9713376760482788,0.2,0.04864218086004257,0.0001,7883,-0.0038903133827261627,0.1647166684269905,-0.4754236936569214
2025448,20,29.660099999999996,109,186,288.34,0.0322265625,0.0044067237,0.9976255297660828,0.2,-0.006002258043736219,0.0001,7887,-0.005874886875972152,0.021498179819900542,-0.39750311337411404
2026472,21,29.6606,111,192,288.07,0.041015625,0.0075417906,0.9987521767616272,0.2,-0.014676605351269245,0.0001,7891,-0.005764673347584903,0.010268297279253602,-0.3759941793978214
2027496,22,29.6779,113,198,287.84,0.060302734375,0.007190181,0.9987700581550598,0.2,-0.01427461951971054,0.0001,7895,-0.007468167634215206,0.012424191809259355,-0.38411639630794525
2028520,23,29.750599999999995,114,204,286.95,0.02734375,0.0056918385,0.9439295530319214,0.2,0.17914065718650818,0.0001,7899,-0.004131667112233117,0.4264179980382323,-0.3102702833712101
2029544,24,29.751899999999996,116,211,286.31,0.018798828125,0.003320304,0.9967615008354187,0.2,-0.00873455312103033,0.0001,7903,-0.0042525644530542195,0.02292145905084908,-0.35103073343634605
2030568,25,29.614499999999992,112,227,284.4,0.033447265625,0.0064731813,0.9975231885910034,0.2,-0.01696116477251053,0.0001,7907,-0.007171732693677768,0.013775388360954821,-0.35580471716821194
2031592,26,29.613300000000002,110,240,284.73,0.0166015625,0.003868206,0.948827862739563,0.2,0.0874013900756836,0.0001,7911,-0.0024618040479253978,0.42855098005384207,-0.35115203633904457
2032616,27,29.610899999999997,111,247,285.24,0.050537109375,0.008905778,0.9921496510505676,0.2,0.012583423405885696,0.0001,7915,-0.004270899793482386,0.07433458673767745,-0.44958291202783585
2033640,28,29.609899999999996,112,255,285.77,0.02783203125,0.005907544,0.993057370185852,0.2,0.009814927354454994,0.0001,7919,-0.007560370780993253,0.05373107176274061,-0.43786460161209106
2034664,29,29.488999999999997,112,264,284.6,0.0390625,0.0076558953,0.9976475238800049,0.2,-0.009846555069088936,0.0001,7923,-0.00825864973012358,0.015631117508746684,-0.4393320418894291
2035688,30,29.4901,112,273,284.96,0.04833984375,0.008110713,0.9485776424407959,0.2,0.0992228165268898,0.0001,7927,-0.0031711090996395797,0.3980013942345977,-0.3471254073083401
2036712,31,29.5878,112,282,285.62,0.023681640625,0.0044550053,0.9974150657653809,0.2,-0.009799017570912838,0.0001,7931,-0.00848888717155205,0.023029823787510395,-0.3941443283110857
2037736,32,29.588399999999996,112,290,285.1,0.0478515625,0.009709467,0.9898371696472168,0.2,0.05338923633098602,0.0001,7935,-0.007860318262828514,0.08501712395809591,-0.3589027598500252
2038760,33,29.592599999999997,113,297,282.93,0.02392578125,0.0043618875,0.9975029230117798,0.2,-0.01108541153371334,0.0001,7939,-0.0060329255647957325,0.013869134127162397,-0.3639496676623821
2039784,34,29.7962,114,304,284.93,0.04248046875,0.006545189,0.9990454316139221,0.2,-0.02538040652871132,0.0001,7943,-0.007902787649072707,0.0065374180558137596,-0.3913288991898298
2040808,35,29.7973,114,311,284.19,0.03515625,0.005447765,0.9993367195129395,0.2,-0.029483208432793617,0.0001,7947,-0.009009120578411967,0.0048415081546409056,-0.39713272266089916
2041832,36,29.797299999999996,113,325,283.47,0.01904296875,0.003681892,0.9992254972457886,0.2,-0.015100788325071335,0.0001,7951,-0.007870624773204327,0.007081073912559077,-0.4032237958163023
2042856,37,29.920899999999996,111,339,283.57,0.03271484375,0.00476861,0.9994451403617859,0.2,-0.015799174085259438,0.0001,7955,-0.0077710927434964105,0.005170231801457703,-0.3917557019740343
2043880,38,29.918999999999997,111,347,284.17,0.028564453125,0.0056493105,0.992836594581604,0.2,0.012153847143054008,0.0001,7959,-0.005972857092274353,0.054212510120123625,-0.3628941494971514
2044904,39,30.042699999999996,111,357,283.89,0.035888671875,0.006132229,0.9988058805465698,0.2,-0.016163796186447144,0.0001,7963,-0.009241051913704723,0.010949503775918856,-0.4272709172219038
2045928,40,30.0456,112,364,283.22,0.0390625,0.008019801,0.995611310005188,0.2,0.003703739494085312,0.0001,7967,-0.003932434454327449,0.035165006294846535,-0.3384082205593586
2046952,41,30.046299999999995,112,372,283.14,0.0244140625,0.0050275014,0.9990972280502319,0.2,-0.014132043346762657,0.0001,7971,-0.00573536311276257,0.007649762323126197,-0.354211650788784
2047976,42,30.0499,112,382,281.62,0.035888671875,0.0069685327,0.9993772506713867,0.2,-0.015714576467871666,0.0001,7975,-0.009397722547873855,0.0055835644889157265,-0.34348013438284397
2049000,43,30.172199999999993,112,390,281.91,0.0234375,0.004491641,0.9995208978652954,0.2,-0.014883339405059814,0.0001,7979,-0.0069453882751986384,0.004913130396744236,-0.3513548690825701
2050024,44,30.41419999999999,113,397,285.43,0.03857421875,0.0048213257,0.999544084072113,0.2,-0.0014427340356633067,0.0001,7983,-0.0060420180088840425,0.0037876448332099244,-0.28938124515116215
2051048,45,30.4152,113,404,285.16,0.03857421875,0.00605417,0.999675989151001,0.2,-0.011966505087912083,0.0001,7987,-0.0065041977213695645,0.004849473654758185,-0.4053566213697195
2052072,46,30.489199999999997,114,412,284.18,0.045166015625,0.008228248,0.9988549947738647,0.2,-0.016406962648034096,0.0001,7991,-0.008320189095684327,0.010422242718050256,-0.33976326510310173
2053096,47,30.2034,114,419,282.8,0.06458333333333334,0.039788123,0.99723219871521,0.2,-0.004809485748410225,0.0001,7995,-0.008626938549180825,0.02279236800968647,-0.31272996266682945
2054120,48,30.203999999999997,114,427,282.6,0.03173828125,0.008330559,0.9261695146560669,0.2,0.23082277178764343,0.0001,7999,-0.003483918437268585,0.7581013720482588,-0.3980092220008373
2055144,49,30.204399999999996,115,434,282.45,0.0185546875,0.0030563846,0.9923404455184937,0.2,-0.00044169556349515915,0.0001,8003,-0.004598700994392857,0.04690098762512207,-0.33165640383958817
2056168,50,30.326100000000007,115,441,283.66,0.030029296875,0.0062381984,0.997461199760437,0.2,-0.008531966246664524,0.0001,8007,-0.007182425819337368,0.018132434226572514,-0.340183200314641
2057192,51,30.3254,116,448,284.09,0.035400390625,0.006528694,0.9968624114990234,0.2,0.003281043842434883,0.0001,8011,-0.006057366437744349,0.024890550528652966,-0.35610116459429264
