time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss
4,2120684,1,28.475200000000005,247,257.85,,,,,,,,,,
11,2121708,2,28.474200000000007,180,258.34,0.9994304180145264,0.004601248,8263,0.02978515625,0.2,0.0001,-0.004739475378300995,0.003191852549207397,-0.013638542033731937,-0.19785175006836653
19,2122732,3,28.4733,159,258.67,0.999534547328949,0.0047581205,8267,0.0185546875,0.2,0.0001,-0.007051329317619093,0.0038558144733542576,-0.0066262464970350266,-0.24682036321610212
25,2123756,4,28.4741,158,258.26,0.9989848732948303,0.004701914,8271,0.0302734375,0.2,0.0001,-0.006450298154959455,0.010623675974784419,-0.015582979656755924,-0.2759721288457513
32,2124780,5,28.4741,156,258.27,0.9994310736656189,0.006385232,8275,0.034912109375,0.2,0.0001,-0.008491396671161056,0.005305900165694766,-0.013265471905469894,-0.2586397649720311
41,2125804,6,28.474999999999994,149,257.79,0.9996634125709534,0.005445714,8279,0.02734375,0.2,0.0001,-0.005757959355833009,0.003865378850605339,-0.009068859741091728,-0.2642715061083436
48,2126828,7,28.475299999999997,148,257.69,0.9996044635772705,0.004817997,8283,0.035888671875,0.2,0.0001,-0.006636989826802164,0.003575350609025918,-0.011486191302537918,-0.25075733941048384
55,2127852,8,28.678399999999993,147,260.03,0.9995620846748352,0.006779379,8287,0.033447265625,0.2,0.0001,-0.006918409169884399,0.0038169942563399673,-0.002217116765677929,-0.23278346471488476
63,2128876,9,28.446599999999993,146,258.46,0.9940552711486816,0.009607712,8291,0.03662109375,0.2,0.0001,-0.008557175402529538,0.05768270464614034,0.0024356264621019363,-0.3093276899307966
70,2129900,10,28.4454,145,258.96,0.9272072315216064,0.009098586,8295,0.041015625,0.2,0.0001,-0.007898377501987852,0.46462246123701334,0.12700408697128296,-0.2580089261755347
78,2130924,11,28.445400000000003,143,258.91,0.9968153238296509,0.004409727,8299,0.025146484375,0.2,0.0001,-0.005443087829917204,0.01776554255047813,-0.01482295710593462,-0.28218105155974627
85,2131948,12,28.445999999999998,143,258.64,0.9981980323791504,0.0026780763,8303,0.028564453125,0.2,0.0001,-0.004134630551561713,0.009141469548922032,-0.012812321074306965,-0.23542734142392874
93,2132972,13,28.8543,142,262.03,0.998844563961029,0.00993428,8307,0.04150390625,0.2,0.0001,-0.008058830804657191,0.0072747043741401285,-0.014681853353977203,-0.2845359928905964
100,2133996,14,29.2608,142,266.42,0.9991255402565002,0.004899295,8311,0.03515625,0.2,0.0001,-0.005572605557972565,0.00615404051495716,-0.013850193470716476,-0.2826740359887481
108,2135020,15,29.748899999999995,141,270.55,0.9995618462562561,0.009245126,8315,0.069091796875,0.2,0.0001,-0.011881750397151336,0.004727466177428141,-0.024073800072073936,-0.3063592277467251
115,2136044,16,30.155899999999992,141,274.58,0.9994465112686157,0.0045199455,8319,0.039306640625,0.2,0.0001,-0.004250147729180753,0.003141490917187184,-0.008914930745959282,-0.2147607458755374
122,2137068,17,30.564399999999996,141,277.86,0.9948626756668091,0.004953929,8323,0.027587890625,0.2,0.0001,-0.00420972757274285,0.04099026613403112,0.01385022234171629,-0.2562547866255045
129,2138092,18,30.563699999999994,142,278.1,0.9975373148918152,0.007020454,8327,0.019287109375,0.2,0.0001,-0.0045233548153191805,0.02106230118079111,-0.006401559337973595,-0.2487159315496683
136,2139116,19,30.561099999999993,142,279.3,0.9911937713623047,0.0043952446,8331,0.01904296875,0.2,0.0001,-0.004365250846603885,0.06481100991368294,0.00864441692829132,-0.27347632590681314
143,2140140,20,30.56089999999999,142,279.14,0.9981424808502197,0.0066043567,8335,0.029296875,0.2,0.0001,-0.004798851179657504,0.015954158938257024,-0.003170913551002741,-0.2722102953121066
150,2141164,21,30.493999999999996,142,279.22,0.9983465671539307,0.0041729915,8339,0.024169921875,0.2,0.0001,-0.00486050643667113,0.012093894009012729,-0.01526731625199318,-0.26284542493522167
157,2142188,22,30.4925,142,279.75,0.9571974873542786,0.007545108,8343,0.035888671875,0.2,0.0001,-0.005819065103423782,0.514260315336287,0.19204378128051758,-0.34372488781809807
166,2143212,23,30.491999999999994,141,279.57,0.9927942156791687,0.00516125,8347,0.028564453125,0.2,0.0001,-0.0060437739884946495,0.04483856714796275,-0.009222880005836487,-0.31910181790590286
178,2144236,24,30.492399999999996,137,279.21,0.9973101615905762,0.0041410513,8351,0.02587890625,0.2,0.0001,-0.00730550434673205,0.01320211635902524,-0.02023232728242874,-0.24891872610896826
187,2145260,25,30.494099999999992,136,278.34,0.9982259273529053,0.0025611054,8355,0.017578125,0.2,0.0001,-0.004083355364855379,0.009383522352436557,-0.009501773864030838,-0.24405694752931595
196,2146284,26,30.492399999999996,135,278.96,0.9947772026062012,0.0030313511,8359,0.01904296875,0.2,0.0001,-0.003515629708999768,0.03815997485071421,-0.00042079389095306396,-0.2711232639849186
204,2147308,27,30.371599999999997,135,277.71,0.998157799243927,0.0067347307,8363,0.05419921875,0.2,0.0001,-0.007213005475932732,0.014023434778209776,-0.0058537814766168594,-0.3036375604569912
213,2148332,28,30.371399999999998,134,277.89,0.9474902153015137,0.0040688165,8367,0.020751953125,0.2,0.0001,-0.0017437105998396873,0.44904273748397827,0.23532864451408386,-0.28044639341533184
223,2149356,29,30.37109999999999,132,277.94,0.9928601980209351,0.002784438,8371,0.021484375,0.2,0.0001,-0.0044004370720358565,0.05416741594672203,0.016474949195981026,-0.3162092510610819
231,2150380,30,30.372099999999993,132,277.32,0.9972028136253357,0.011423538,8375,0.04638671875,0.2,0.0001,-0.007590964960400015,0.017713835986796767,-0.00475730374455452,-0.2657207529991865
240,2151404,31,30.37269999999999,131,277.44,0.9983454942703247,0.0033904433,8379,0.040283203125,0.2,0.0001,-0.0064800038817338645,0.010559727234067395,-0.011144434101879597,-0.26146120112389326
249,2152428,32,30.37289999999999,131,277.07,0.998750627040863,0.008896673,8383,0.0439453125,0.2,0.0001,-0.0074070654809474945,0.010993699863320217,-0.010632707737386227,-0.27887049317359924
256,2153452,33,30.372499999999995,131,277.32,0.9988001585006714,0.0042013302,8387,0.0302734375,0.2,0.0001,-0.005487867631018162,0.009465501207159832,-0.0026862677186727524,-0.25034953840076923
264,2154476,34,30.3019,131,276.83,0.9992979764938354,0.004584372,8391,0.0244140625,0.2,0.0001,-0.005859516095370054,0.006445013597840443,-0.010886956006288528,-0.26813188567757607
271,2155500,35,30.302199999999992,131,276.57,0.9724348187446594,0.005247481,8395,0.02197265625,0.2,0.0001,-0.005577343050390482,0.20604549068957567,0.05159512534737587,-0.24058741331100464
279,2156524,36,30.534099999999995,131,277.87,0.9857761859893799,0.005615738,8399,0.021484375,0.2,0.0001,-0.010078832827275619,0.08293369389139116,-0.012956220656633377,-0.29356633592396975
286,2157548,37,30.32069999999999,132,280.27,0.9891555309295654,0.0039009973,8403,0.070556640625,0.2,0.0001,0.003682721115183085,0.0748238239903003,0.024566873908042908,-0.3797173388302326
294,2158572,38,30.318999999999992,132,280.21,0.957693338394165,0.0029625027,8407,0.013671875,0.2,0.0001,-0.0036944343301001936,0.32576943933963776,0.13334468007087708,-0.2488092314451933
301,2159596,39,30.319699999999994,132,279.79,0.9953406453132629,0.0034402027,8411,0.02294921875,0.2,0.0001,-0.003834432107396424,0.025087837711907923,-0.011126747354865074,-0.27314690593630075
