decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_score_tier,flag_top_tier,post_flag_frames,flag_resolution_complete,flag_resolution_status,objective_reward,objective_reward_sum
1,4,40,79,40,3,right+B,7.866015039326157e-08,1.9331821476953337e-06,7.235446446429705e-07,0.9999850988388062,1.2227809747855645e-05,0.00019052768766414374,0.0,0.0,1,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
2,8,43,79,43,3,right+B,7.746680097397984e-08,1.912483185151359e-06,7.183243155850505e-07,0.9999852180480957,1.2118383892811835e-05,0.00018810646724887192,3.0,3.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
3,12,47,79,47,3,right+B,7.62358141059849e-08,1.8890394812842715e-06,7.168631555032334e-07,0.9999850988388062,1.2219590644235723e-05,0.00018978072330355644,4.0,7.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
4,16,53,79,53,3,right+B,7.477339636352553e-08,1.8428634120937204e-06,7.078697876750084e-07,0.9999849796295166,1.2505455742939375e-05,0.00019202158728148788,6.0,13.0,0,2,400,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
5,20,60,79,60,3,right+B,8.534357220923994e-08,2.0164463876426453e-06,8.48519789542479e-07,0.9999810457229614,1.5955825801938772e-05,0.00023501140822190791,6.0,19.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
6,24,70,79,70,3,right+B,8.099701176433882e-08,1.9645574411697453e-06,8.63165951159317e-07,0.9999809265136719,1.6167878129635938e-05,0.00023663442698307335,10.0,29.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
7,28,81,79,81,3,right+B,9.101360376462253e-08,2.1643909349222668e-06,1.0410315098852152e-06,0.999977707862854,1.899100243463181e-05,0.0002724425576161593,11.0,40.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
8,32,93,79,93,3,right+B,8.439188547981757e-08,2.0318088900239673e-06,9.968562153517269e-07,0.9999785423278809,1.8299242583452724e-05,0.0002623802865855396,12.0,52.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
9,36,105,79,105,3,right+B,1.8174158356032422e-07,3.944932814192725e-06,4.09208632845548e-06,0.9999192953109741,7.244374137371778e-05,0.0008743164362385869,12.0,64.0,0,2,399,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
10,40,117,79,117,3,right+B,4.376756351121003e-06,5.347925616661087e-05,0.0008630460361018777,0.9791268110275269,0.019952351227402687,0.10542453080415726,11.0,75.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
11,44,129,97,129,4,right+A+B,2.240095091110561e-05,0.00016016697918530554,0.02196568436920643,0.20468224585056305,0.7731694579124451,0.6091005802154541,12.0,87.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
12,48,141,117,141,4,right+A+B,1.8592805645312183e-05,0.0001448719995096326,0.007242646999657154,0.6069615483283997,0.38563239574432373,0.7076809406280518,12.0,99.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
13,52,153,133,153,4,right+A+B,2.3108623281586915e-06,3.2936615752987564e-05,0.00019224963034503162,0.9925521612167358,0.007220412138849497,0.04503784701228142,12.0,111.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
14,56,165,145,165,3,right+B,3.2851477271833573e-07,5.321041044226149e-06,7.4249328463338315e-06,0.9994614720344543,0.0005253898561932147,0.0046631647273898125,12.0,123.0,0,2,398,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
15,60,177,144,177,3,right+B,1.2271422633602924e-07,1.7757434989107423e-06,1.0337963658457738e-06,0.9998032450675964,0.00019382299797143787,0.0018930406076833606,11.0,134.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
16,64,189,129,189,3,right+B,7.05762914776642e-08,9.688450290923356e-07,4.788005298905773e-07,0.99982088804245,0.00017764625954441726,0.0017349066911265254,12.0,146.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
17,68,201,109,201,3,right+B,3.319799759538e-07,2.306972646692884e-06,5.397168933995999e-06,0.9946478009223938,0.005344155710190535,0.033397261053323746,12.0,158.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
18,72,213,89,213,4,right+A+B,1.0784087862703018e-06,2.8224428660905687e-06,0.0020394804887473583,0.02925519272685051,0.9687014818191528,0.1468096822500229,12.0,170.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
19,76,225,79,225,4,right+A+B,7.891336508691893e-07,1.740798438731872e-06,0.009997472167015076,0.004369713366031647,0.985630214214325,0.08408359438180923,12.0,182.0,0,2,397,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
20,80,237,79,237,4,right+A+B,1.1020041768006195e-07,2.0433931524621585e-07,0.15469619631767273,8.385149158129934e-06,0.8452951312065125,0.4308793842792511,11.0,193.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
21,84,249,79,249,4,right+A+B,6.286003895183967e-08,1.0121993909706362e-07,0.013738639652729034,3.3390447242709342e-06,0.986257791519165,0.072597436606884,12.0,205.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
22,88,261,79,261,4,right+A+B,4.3971607510684407e-07,1.668573759161518e-06,0.0010085038375109434,0.0011444783303886652,0.997844934463501,0.01689048483967781,12.0,217.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
23,92,273,79,273,3,right+B,2.9262008638397674e-07,4.245877335051773e-06,2.2964345589571167e-06,0.9979326725006104,0.0020604091696441174,0.014895257540047169,12.0,229.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
24,96,285,79,285,3,right+B,1.6729049256980488e-09,5.275442305219258e-08,4.776699036312948e-10,0.9999997615814209,2.3498108703279286e-07,4.5147926357458346e-06,12.0,241.0,0,2,396,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
25,100,297,79,297,3,right+B,1.2095611623408331e-08,1.7148096276287106e-07,1.2124207415808996e-08,0.999994158744812,5.640967174258549e-06,7.70086408010684e-05,11.0,252.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
26,104,309,97,309,4,right+A+B,1.7713047100187396e-06,1.792403168110468e-06,0.0023279888555407524,0.002086313208565116,0.9955821633338928,0.03144653141498566,12.0,264.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
27,108,321,115,321,3,right+B,3.3214457744179526e-06,8.482563316647429e-06,0.00010807339276652783,0.9611175656318665,0.03876262530684471,0.16523459553718567,12.0,276.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
28,112,333,109,333,3,right+B,1.0791115983010968e-06,4.66717392555438e-06,5.434851482277736e-05,0.9940837025642395,0.005856262519955635,0.03660709410905838,12.0,288.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
29,116,345,90,345,3,right+B,8.703017329025897e-08,6.554240599143668e-07,1.7285819922108203e-06,0.9999488592147827,4.873003126704134e-05,0.0005690287798643112,12.0,300.0,0,2,395,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
30,120,357,79,357,3,right+B,1.429587204171412e-08,1.563037557161806e-07,2.6830093702301383e-07,0.999996542930603,3.0517210234393133e-06,4.9338388635078445e-05,11.0,311.0,0,2,394,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
31,124,369,79,369,3,right+B,3.3616380790135736e-08,4.0478101936969324e-07,1.7842344277596567e-06,0.999982476234436,1.5356110452557914e-05,0.00021752678730990738,12.0,323.0,0,2,394,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
32,128,381,79,381,3,right+B,4.1294484276477306e-07,7.634931534994394e-06,0.00013771642989013344,0.9988584518432617,0.0009957847651094198,0.009344415739178658,12.0,335.0,0,2,394,0,0,0,0,0,0,0,0.0,0.0,0,,,False,0,False,not_reached,0.0,0.0
