time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range
3,2120684,1,293,,,,,,,,,,,,
9,2121708,2,210,2.141160409897566,0.9795482158660889,3.84,241.0,0.00020320233306847513,0.41686466336250305,-0.2050740635022521,0.005126953125,0.00105863,2.5e-05,8263,0.2
15,2122732,3,192,2.7517041116952896,0.4678008556365967,4.877777777777778,263.77777777777777,0.0006052857061149552,0.9723638296127319,-0.29116619378328323,0.015625,0.0045876624,2.5e-05,8267,0.2
22,2123756,4,185,1.1948946304619312,0.40088897943496704,5.325000000000001,268.3333333333333,-0.00026031583547592163,0.5390915870666504,-0.4670501947402954,0.035888671875,0.0076865153,2.5e-05,8271,0.2
28,2124780,5,179,1.0842896066606045,0.18209302425384521,3.7777777777777777,257.77777777777777,0.00046381673018913716,0.46500080823898315,-0.5738845989108086,0.026611328125,0.0065202704,2.5e-05,8275,0.2
34,2125804,6,180,2.078370911734445,-0.00868380069732666,1.576923076923077,222.0,0.010166974139532872,0.6823320984840393,-0.6665576526096889,0.048549107142857144,0.014329561,2.5e-05,8279,0.2
39,2126828,7,181,3.3517798582712808,0.010111510753631592,-0.2027777777777778,191.83333333333334,0.0035057033334548273,1.2732112407684326,-0.7640663683414459,0.043294270833333336,0.013915005,2.5e-05,8282,0.2
44,2127852,8,186,3.7026732861995697,0.09139221906661987,-0.9604651162790698,176.90697674418604,0.011392257642000914,1.7356696128845215,-0.9553235620260239,0.05224609375,0.010677508,2.5e-05,8284,0.2
48,2128876,9,188,1.8371845218870375,0.04916590452194214,-1.354166666666667,178.14583333333334,0.008052624348137114,0.7837772965431213,-1.2429165310329862,0.07682291666666667,0.02508804,2.5e-05,8287,0.2
53,2129900,10,189,1.0960202596404336,0.00017154216766357422,-1.6811320754716985,179.33962264150944,0.004226061049848795,0.44745567440986633,-1.3850244066931985,0.09268465909090909,0.015253314,2.5e-05,8290,0.2
60,2130924,11,187,0.8333416655659676,-0.00883781909942627,-1.8964912280701753,180.12280701754386,-0.004889805190032348,0.3397352695465088,-1.4562884643673897,0.02001953125,0.006639482,2.5e-05,8294,0.2
65,2131948,12,186,0.5998668596148491,0.044055283069610596,-2.081967213114754,185.85245901639345,-0.0021796902001369745,0.2728649973869324,-1.487383358180523,0.013427734375,0.0068590725,2.5e-05,8298,0.2
71,2132972,13,186,0.5488017754895347,0.07432442903518677,-2.246153846153846,182.1846153846154,0.00040055129544011185,0.1469099223613739,-1.4837363958358765,0.07756696428571429,0.015071176,2.5e-05,8302,0.2
77,2133996,14,185,0.39955446869134903,0.2944476008415222,-2.3927536231884057,191.40579710144928,-0.006295110390055925,0.0987425148487091,-1.5235623940825462,0.0361328125,0.006597574,2.5e-05,8306,0.2
83,2135020,15,184,0.3965697940438986,0.2833826541900635,-2.5219178082191784,189.94520547945206,-0.004009422962553799,0.20393657684326172,-1.5118942558765411,0.052978515625,0.008872752,2.5e-05,8310,0.2
