time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate
2120684,1,302,3,,,,,,,,,,,,
2121708,2,216,9,0.001220703125,21.110999999999997,0.010698161087930202,8263,0.2,-0.0001393199199810624,241.0,0.000492808,-0.20336716808378696,0.07051765429787338,0.9984302520751953,2.5e-05
2122732,3,197,15,0.00244140625,22.720277777777778,0.4546506404876709,8267,0.2,2.099463017657399e-06,256.6666666666667,0.0007350145,-0.2576365554705262,0.7600081656128168,0.8974887728691101,2.5e-05
2123756,4,189,21,0.0009765625,23.33961538461538,0.026842709630727768,8271,0.2,-0.003398212109459564,265.46153846153845,0.0003869526,-0.29443060234189034,0.07525702868588269,0.9826568365097046,2.5e-05
2124780,5,184,27,0.003662109375,23.683970588235294,0.006516437511891127,8275,0.2,-0.0013709587801713496,269.1764705882353,0.00093310024,-0.33824588917195797,0.04765782249160111,0.9887910485267639,2.5e-05
2125804,6,181,33,0.0029296875,23.88880952380952,0.0013757599517703056,8279,0.2,-0.00256193004315719,271.6190476190476,0.0007458331,-0.3277425207197666,0.03350954886991531,0.9916567802429199,2.5e-05
2126828,7,179,39,0.0068359375,23.996458333333333,-0.004142799414694309,8283,0.2,-0.005266426509479061,273.1666666666667,0.0012862976,-0.33299257047474384,0.023367806687019765,0.9942585229873657,2.5e-05
2127852,8,178,45,0.004638671875,24.104553571428568,-0.00017633149400353432,8287,0.2,-0.0029366449161898345,274.0357142857143,0.0010397555,-0.3148862440139055,0.018527316336985677,0.995538592338562,2.5e-05
2128876,9,177,51,0.0048828125,24.18421875,-0.01619192212820053,8291,0.2,-0.00467417819891125,274.4375,0.0011342383,-0.3027864769101143,0.018609982449561357,0.9951317310333252,2.5e-05
2129900,10,176,57,0.00439453125,23.756736111111113,0.0008825007826089859,8295,0.2,-0.0023514312924817204,270.3333333333333,0.0013492103,-0.3076458517462015,0.015440553543157876,0.9958193898200989,2.5e-05
2130924,11,175,64,0.001953125,23.8580625,0.1779003143310547,8299,0.2,-0.0010161418467760086,270.1,0.00037795462,-0.3163603376597166,0.45197117887437344,0.8955978751182556,2.5e-05
2131948,12,174,70,0.001953125,23.936079545454547,-0.0015680724754929543,8303,0.2,-0.003567926643881947,271.1363636363636,0.0008647381,-0.2743589049205184,0.024436715990304947,0.992922306060791,2.5e-05
2132972,13,174,76,0.0048828125,23.995797872340425,-0.005028876475989819,8307,0.2,-0.0037888182559981942,271.8723404255319,0.0011140108,-0.32294168695807457,0.01135887298732996,0.9968487024307251,2.5e-05
2133996,14,173,82,0.005859375,24.040450000000007,0.0028305063024163246,8311,0.2,-0.002530186902731657,271.76,0.0011217531,-0.3011196069419384,0.031066688359715044,0.990943968296051,2.5e-05
2135020,15,173,88,0.01904296875,23.515000000000004,0.011087421327829361,8315,0.2,-0.004891723016044125,267.8909090909091,0.0042358804,-0.29766171239316463,0.031703465967439115,0.9909101128578186,2.5e-05
2136044,16,172,94,0.003173828125,23.597542372881357,0.6194572448730469,8319,0.2,-0.0005098567926324904,268.77966101694915,0.00064557244,-0.29621314723044634,1.022358138114214,0.7688415050506592,2.5e-05
2137068,17,172,100,0.002685546875,23.667857142857148,-8.463487029075623e-05,8323,0.2,-0.0027427716413512826,270.4761904761905,0.00052446366,-0.31139518693089485,0.02257289714179933,0.9951415657997131,2.5e-05
2138092,18,172,107,0.0029296875,23.733283582089552,-0.00940953940153122,8327,0.2,-0.0036995091068092734,270.3731343283582,0.00077115675,-0.35552679374814034,0.01942755456548184,0.9948310256004333,2.5e-05
2139116,19,171,113,0.00244140625,23.78160714285714,-0.0035491010639816523,8331,0.2,-0.0017282646149396896,270.6857142857143,0.0005161135,-0.2620473485440016,0.008074832265265286,0.9979611039161682,2.5e-05
2140140,20,171,119,0.006103515625,23.831655405405407,-0.0006632683798670769,8335,0.2,-0.002458916962496005,271.1756756756757,0.0012583178,-0.2941538766026497,0.010634490754455328,0.9970744848251343,2.5e-05
2141164,21,171,125,0.004150390625,23.876730769230768,-0.008778315037488937,8339,0.2,-0.003076241846429184,272.3974358974359,0.0007692085,-0.28958374448120594,0.00673299451591447,0.998140811920166,2.5e-05
2142188,22,171,131,0.006103515625,23.80325,-0.00931578315794468,8343,0.2,-0.00434806477278471,272.6625,0.0019425706,-0.3658350519835949,0.017807897529564798,0.9955344796180725,2.5e-05
2143212,23,170,137,0.018310546875,23.846696428571427,0.07742982357740402,8347,0.2,-0.0025699971592985094,272.9047619047619,0.0031066376,-0.3444613106548786,0.19522193726152182,0.9526430368423462,2.5e-05
2144236,24,170,143,0.004638671875,23.68673295454545,0.05658257380127907,8351,0.2,-0.0027450894995126873,271.7386363636364,0.00088943576,-0.31881905905902386,0.1089358595199883,0.9673032760620117,2.5e-05
2145260,25,170,150,0.00146484375,23.72054945054945,0.15782377123832703,8355,0.2,-0.0018564224592410028,272.3626373626374,0.0005999448,-0.31258978694677353,0.22292193421162665,0.936928927898407,2.5e-05
2146284,26,170,156,0.006103515625,23.76581578947368,7.157772779464722e-05,8359,0.2,-0.0038417940959334373,273.30526315789473,0.0015144291,-0.31650317274034023,0.018509038258343935,0.9954397082328796,2.5e-05
2147308,27,170,162,0.022216796875,23.808484848484852,-0.012362988665699959,8363,0.2,-0.005648559599649161,273.5050505050505,0.0035071685,-0.3665314204990864,0.018236828094813973,0.995840311050415,2.5e-05
2148332,28,169,168,0.00830078125,23.82225,-0.007708420976996422,8367,0.2,-0.00460333056980744,273.73,0.0017539451,-0.2982358057051897,0.00840805543703027,0.9977290630340576,2.5e-05
