time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/entropy_loss
2270192,300,1,3,,,,,,,,,,,,
2271216,216,2,9,0.022540803882293403,280.5,0.9877486824989319,-0.003020763339009136,0.2,2.5e-05,25.590000000000003,0.005615234375,0.003898445051163435,8847,0.0012652326,-0.20426775980740786
2272240,198,3,15,0.011293707793811336,274.25,0.9955088496208191,-0.0032747110235504806,0.2,2.5e-05,25.750937500000003,0.006591796875,-0.00015888456255197525,8851,0.0015686798,-0.232438076287508
2273264,191,4,21,0.0027481100551085547,273.1666666666667,0.9989594221115112,-0.0030184610513970256,0.2,2.5e-05,25.744166666666672,0.005126953125,-0.004891403019428253,8855,0.0013184329,-0.2016617776826024
2274288,186,5,27,0.010702021420001984,274.5,0.9960123896598816,-0.005018942814785987,0.2,2.5e-05,25.664062500000004,0.02392578125,-6.445683538913727e-05,8859,0.0065086596,-0.2185424929484725
2275312,183,6,33,0.02879485674202442,273.25,0.9912458658218384,-0.0029861185466870666,0.2,2.5e-05,25.715250000000005,0.004638671875,0.0035791159607470036,8863,0.0014776234,-0.2300197845324874
2276336,181,7,39,0.006504663178930059,272.375,0.9973008632659912,-0.003388975572306663,0.2,2.5e-05,25.74802083333333,0.005859375,-0.005153585225343704,8867,0.001136213,-0.20232217945158482
2277360,180,8,45,0.0017612442825338803,271.75,0.999081552028656,-0.0019543007074389607,0.2,2.5e-05,25.77258928571428,0.0048828125,-0.002122484613209963,8871,0.000685543,-0.1995447725057602
2278384,179,9,51,0.0018847989776986651,272.875,0.9992067217826843,-0.0036306463880464435,0.2,2.5e-05,25.750625000000003,0.00732421875,-0.0040500047616660595,8875,0.0026677467,-0.2071564868092537
2279408,178,10,57,0.02828676055651158,272.3611111111111,0.9915883541107178,-0.005467941460665315,0.2,2.5e-05,25.73680555555556,0.01708984375,3.323238343000412e-05,8879,0.0025903475,-0.2405398366972804
2280432,177,11,63,0.010611426405375823,271.925,0.9960700869560242,-0.004021671891678125,0.2,2.5e-05,25.754312500000005,0.006103515625,-0.011789304204285145,8883,0.001674154,-0.20869459956884384
2281456,176,12,69,0.002543056893046014,271.5681818181818,0.9987500309944153,-0.002521020360291004,0.2,2.5e-05,25.76937500000001,0.003662109375,-0.003933514468371868,8887,0.00079061557,-0.2104536723345518
2282480,176,13,75,0.021245443844236434,273.625,0.9905151128768921,-0.00441095553105697,0.2,2.5e-05,25.677187500000002,0.00927734375,-0.003063424490392208,8891,0.0019553178,-0.21046705171465874
2283504,175,14,81,0.04919530020561069,273.4,0.9872078895568848,-0.0026308156666345894,0.2,2.5e-05,25.686900000000005,0.01318359375,0.008853924460709095,8895,0.0026647851,-0.2939912099391222
2284528,175,15,87,0.01175616797991097,273.51851851851853,0.9961178302764893,-0.0035254874383099377,0.2,2.5e-05,25.660879629629637,0.005615234375,-0.0036940323188900948,8899,0.0016605228,-0.20697430614382029
2285552,174,16,93,0.010804585937876254,273.13793103448273,0.9963304996490479,-0.0037529963883571327,0.2,2.5e-05,25.678189655172417,0.00927734375,-0.01068214699625969,8903,0.0018085405,-0.2016979195177555
2286576,174,17,99,0.00528592498449143,272.88524590163934,0.9975786209106445,-0.003302734694443643,0.2,2.5e-05,25.69008196721312,0.002197265625,-0.003340546041727066,8907,0.00083618046,-0.19168167375028133
2287600,173,18,105,0.0017137244794867001,272.5846153846154,0.9988382458686829,-0.0027333646139595658,0.2,2.5e-05,25.704230769230776,0.002685546875,-0.004164148587733507,8911,0.0009787008,-0.18762055598199368
2288624,173,19,111,0.0016176656790776178,272.4927536231884,0.9992774724960327,-0.0017377349431626499,0.2,2.5e-05,25.716630434782616,0.004638671875,-0.006116488482803106,8915,0.00060537463,-0.18753015715628862
2289648,173,20,118,0.008224098390201107,272.24657534246575,0.9967674612998962,-0.004212720377836376,0.2,2.5e-05,25.727328767123293,0.00390625,0.0016551464796066284,8919,0.00095946615,-0.20235004276037216
2290672,173,21,124,0.002193219705077354,272.02597402597405,0.9990556240081787,-0.0029088322771713138,0.2,2.5e-05,25.73691558441559,0.0068359375,-0.00545346736907959,8923,0.0011765098,-0.18700483441352844
2291696,172,22,130,0.002470724022714421,271.9125,0.998942494392395,-0.0026410820428282022,0.2,2.5e-05,25.729406250000004,0.00537109375,-0.0075612603686749935,8927,0.00136191,-0.18923503998667002
2292720,172,23,136,0.013239118183264509,270.3764705882353,0.9942956566810608,-0.002680519479326904,0.2,2.5e-05,25.57282352941177,0.004150390625,-0.003536068368703127,8931,0.0009375973,-0.18763819336891174
2293744,172,24,142,0.46014835499227047,270.4157303370786,0.8409276008605957,-0.0019115635950583965,0.2,2.5e-05,25.574438202247197,0.003662109375,0.2567759156227112,8935,0.000545406,-0.19481748808175325
2294768,171,25,149,0.014591302548069507,271.0967741935484,0.9950631856918335,-0.0029183020524214953,0.2,2.5e-05,25.574650537634415,0.00341796875,0.002813573693856597,8939,0.0007447853,-0.19454756379127502
2295792,171,26,155,0.025139200850389898,271.41237113402065,0.9927998185157776,-0.0026132992061320692,0.2,2.5e-05,25.575747422680415,0.00439453125,0.007361359428614378,8943,0.0010977655,-0.22688944730907679
2296816,171,27,161,0.017212575126904994,271.31,0.9948691725730896,-0.0026508170703891665,0.2,2.5e-05,25.586075000000008,0.005126953125,-0.00020381668582558632,8947,0.0010414023,-0.2189546562731266
2297840,170,28,167,0.0033889719561557285,271.68,0.99827641248703,-0.0017550329212099314,0.2,2.5e-05,25.586575000000007,0.003662109375,0.0006257738568820059,8951,0.00069174,-0.19451863411813974
2298864,170,29,173,0.028160755056887865,270.55,0.9921838045120239,-0.0040479157760273665,0.2,2.5e-05,25.444075,0.00439453125,0.0021950211375951767,8955,0.0014383013,-0.22623516991734505
2299888,170,30,180,0.5403900407254696,270.55,0.8026574850082397,-0.0016241138509940356,0.2,2.5e-05,25.44375,0.002685546875,0.13256078958511353,8959,0.0008403771,-0.19836120586842299
2300912,170,31,186,0.009754809143487364,270.02,0.9956958889961243,-0.002344414097024128,0.2,2.5e-05,25.462375,0.00537109375,0.0009855935350060463,8963,0.001216831,-0.18688226584345102
2301936,170,32,192,0.004387682944070548,270.64,0.9975535869598389,-0.00253097279346548,0.2,2.5e-05,25.469225000000005,0.00341796875,-0.003455214435234666,8967,0.0009799509,-0.1773838810622692
2302960,170,33,198,0.05494859325699508,270.64,0.9794362187385559,-0.0029178155527915806,0.2,2.5e-05,25.468900000000005,0.0029296875,0.01531441044062376,8971,0.0010739074,-0.22869926318526268
2303984,170,34,204,0.00394146102189552,270.64,0.9979990720748901,-0.0037721977569162846,0.2,2.5e-05,25.45775,0.0068359375,-0.00837191566824913,8975,0.0015282116,-0.1819847896695137
2305008,170,35,210,0.06605596258305013,271.73,0.9717979431152344,-0.002600369101855904,0.2,2.5e-05,25.43325,0.002685546875,0.03633871302008629,8979,0.0007897647,-0.19936257600784302
2306032,170,36,216,0.01731192454462871,271.26,0.9948398470878601,-0.0032353700371459126,0.2,2.5e-05,25.434675000000002,0.008544921875,0.006769636180251837,8983,0.0013721888,-0.25074172113090754
2307056,170,37,222,0.010240306466585025,271.26,0.9961013793945312,-0.0036355034972075373,0.2,2.5e-05,25.44545,0.0068359375,-0.0017914173658937216,8987,0.0009676913,-0.1817289376631379
2308080,170,38,228,0.004765815858263522,271.26,0.9979185461997986,-0.0027638086467050016,0.2,2.5e-05,25.44577500000001,0.003173828125,-0.007652203552424908,8991,0.0010361363,-0.18835704308003187
