time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/n_updates
1,3,2421748,303,,,,,,,,,,,,
2,9,2422772,212,277.75,2.5e-05,0.016628118231892586,-0.0014799544587731361,0.06252686539664865,0.9720034003257751,0.2,0.0010169554,0.00439453125,20.25875,-0.15756201930344105,9439
3,15,2423796,194,253.77777777777777,2.5e-05,0.030041377991437912,-0.00041397305903956294,0.17198018496856093,0.8854557871818542,0.2,0.00052161823,0.002197265625,18.595555555555556,-0.1842728415504098,9443
4,22,2424820,185,260.38461538461536,2.5e-05,0.37837424874305725,-0.0018450139905326068,0.6577828787267208,0.48100441694259644,0.2,0.0010464974,0.0048828125,18.91653846153846,-0.1906690215691924,9447
5,28,2425844,181,262.1764705882353,2.5e-05,0.017296237871050835,-0.0014088202151469886,0.0983410628978163,0.8898430466651917,0.2,0.00081031106,0.002685546875,19.378529411764706,-0.20468464959412813,9451
6,34,2426868,178,265.2857142857143,2.5e-05,0.032424602657556534,-0.0012243623641552404,0.12621066300198436,0.6386496424674988,0.2,0.0028629997,0.0126953125,19.656190476190474,-0.19849126134067774,9455
7,40,2427892,176,265.625,2.5e-05,0.0203796848654747,-0.004462217912077904,0.07697868556715548,0.8257745504379272,0.2,0.0021849952,0.012939453125,19.809166666666666,-0.23906506784260273,9459
8,46,2428916,175,275.2857142857143,2.5e-05,0.036375902593135834,-0.003021051292307675,0.10395358828827739,0.8640701770782471,0.2,0.0014051914,0.0078125,19.786964285714284,-0.21638038754463196,9463
9,53,2429940,173,274.375,2.5e-05,0.03270697221159935,-0.0031597494962625206,0.07857446279376745,0.8915780782699585,0.2,0.0013227251,0.00439453125,19.92359375,-0.2833310104906559,9467
10,59,2430964,173,274.0,2.5e-05,0.008282871916890144,-0.003880899486830458,0.04205728357192129,0.8036746978759766,0.2,0.0016199403,0.00634765625,19.979852941176468,-0.2124373884871602,9471
11,65,2431988,172,279.10526315789474,2.5e-05,0.037587981671094894,-0.0010912041179835796,0.0870196062605828,0.8428260087966919,0.2,0.00058505643,0.00390625,19.949473684210524,-0.31623257510364056,9475
12,71,2433012,171,278.04761904761904,2.5e-05,0.02079520933330059,-0.0034323724394198507,0.05537760606966913,0.8965490460395813,0.2,0.0009485102,0.003173828125,20.036785714285713,-0.253002586774528,9479
