elapsed_seconds,timesteps,return,length,max_x,completed,game_score,score_gain,coins,objective_reward_sum,one_ups,custom_one_up_bonus,augmented_score_gain,flag_height_bonus,flag_touch_y,flag_top_tier
6.237,2421796,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
6.237,2421796,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
6.237,2421796,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
6.773,2421952,3089.0,307,3175,1,900,900,2,18.39500000000001,0,0,900,100,145,0
12.572,2422868,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
12.572,2422868,3095.0,268,3175,1,5700,5700,2,20.825000000000024,0,0,5700,5000,30,1
12.572,2422868,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
13.121,2423024,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
13.945,2423272,1053.0,101,1127,0,200,200,0,2.8649999999999936,0,0,200,0,,0
13.945,2423272,1052.0,101,1126,0,200,200,0,2.8599999999999937,0,0,200,0,,0
15.348,2423676,1052.0,101,1126,0,200,200,0,2.8599999999999937,0,0,200,0,,0
18.848,2423940,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
19.404,2424096,3096.0,268,3175,1,900,900,2,18.430000000000025,0,0,900,100,160,0
20.271,2424344,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
21.687,2424748,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
25.226,2425012,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
25.781,2425168,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
26.669,2425416,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
28.158,2425820,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
31.701,2426088,3096.0,269,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
32.236,2426240,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
33.104,2426488,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
37.204,2426892,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
38.147,2427160,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
39.534,2427560,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
39.679,2427592,3083.0,338,3175,1,1200,1200,2,18.51500000000001,0,0,1200,400,133,0
43.826,2427964,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
44.802,2428232,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
45.315,2428380,1052.0,104,1125,0,200,200,0,2.859999999999993,0,0,200,0,,0
46.219,2428632,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
46.368,2428664,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
51.377,2429304,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
51.905,2429452,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
52.765,2429704,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
52.905,2429736,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
57.626,2430376,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
58.969,2430776,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
59.109,2430808,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
59.351,2430872,3081.0,355,3175,1,1000,1000,2,18.40500000000001,0,0,1000,100,145,0
63.843,2431448,1887.0,168,1960,0,800,800,2,7.334999999999989,0,0,800,0,,0
64.063,2431504,3094.0,282,3175,1,5900,5900,2,20.920000000000023,0,0,5900,5000,25,1
65.334,2431880,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
68.841,2432160,3087.0,322,3175,1,1300,1300,2,18.585000000000015,0,0,1300,400,137,0
70.068,2432520,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
70.333,2432576,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
71.708,2432952,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
75.317,2433232,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
76.537,2433592,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
76.758,2433648,3096.0,268,3175,1,1200,1200,2,18.580000000000023,0,0,1200,400,133,0
78.034,2434024,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
81.552,2434304,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
82.776,2434664,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
82.992,2434720,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
83.969,2435016,634.0,74,705,0,100,100,0,0.7200000000000011,0,0,100,0,,0
87.552,2435324,3087.0,325,3175,1,1300,1300,2,18.585000000000015,0,0,1300,400,130,0
87.756,2435376,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
88.784,2435688,1886.0,168,1959,0,800,800,2,7.329999999999989,0,0,800,0,,0
88.976,2435736,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
93.736,2436396,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
94.709,2436692,3086.0,329,3175,1,1300,1300,2,18.580000000000013,0,0,1300,400,132,0
94.958,2436760,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
95.656,2436972,3090.0,309,3175,1,1000,1000,2,18.450000000000017,0,0,1000,100,144,0
99.843,2437468,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
100.839,2437764,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
101.086,2437832,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
105.131,2438228,3088.0,314,3175,1,5900,5900,2,20.890000000000015,0,0,5900,5000,15,1
106.404,2438540,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
107.391,2438836,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
107.64,2438904,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
111.482,2439300,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
112.155,2439508,1887.0,168,1959,0,800,800,2,7.334999999999989,0,0,800,0,,0
113.001,2439760,3090.0,305,3175,1,5900,5900,2,20.900000000000023,0,0,5900,5000,15,1
113.494,2439912,1052.0,101,1126,0,200,200,0,2.8599999999999937,0,0,200,0,,0
114.285,2440160,2371.0,314,2471,0,800,800,2,9.754999999999988,0,0,800,0,,0
117.542,2440372,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
119.077,2440832,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
119.603,2440984,3095.0,268,3175,1,5700,5700,2,20.825000000000024,0,0,5700,5000,30,1
122.982,2441232,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
123.687,2441444,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
125.689,2442056,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
129.036,2442304,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
129.105,2442316,3076.0,371,3175,1,900,900,2,18.330000000000005,0,0,900,100,147,0
130.152,2442640,3083.0,299,3175,1,5500,5500,1,20.665000000000017,0,0,5500,5000,25,1
131.769,2443128,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
135.133,2443376,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
135.203,2443388,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
136.365,2443712,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
137.992,2444200,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
141.393,2444448,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
141.467,2444460,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
142.547,2444784,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
144.177,2445272,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
147.546,2445520,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
147.618,2445532,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,26,1
148.696,2445856,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
152.87,2446344,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
153.712,2446592,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
153.785,2446604,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
154.873,2446928,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
159.01,2447416,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
159.867,2447676,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,26,1
160.016,2447712,3087.0,280,3175,1,2500,2500,1,19.18500000000002,0,0,2500,2000,50,0
160.357,2447820,1052.0,101,1126,0,200,200,0,2.8599999999999937,0,0,200,0,,0
160.969,2448000,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
161.754,2448244,1053.0,106,1127,0,200,200,0,2.8649999999999944,0,0,200,0,,0
165.908,2448748,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
166.057,2448784,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
167.022,2449072,3096.0,268,3175,1,5800,5800,2,20.880000000000024,0,0,5800,5000,30,1
