decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins
1,4,40,79,40,3,right+B,0.03565302491188049,0.21899856626987457,0.10238822549581528,0.6052387356758118,0.0377214178442955,1.1123393774032593,0.0,0.0,1,2,400,0,0,0,0,0,0
2,8,43,79,43,3,right+B,0.035570673644542694,0.21903777122497559,0.10225701332092285,0.605468213558197,0.037666384130716324,1.111759901046753,3.0,3.0,0,2,400,0,0,0,0,0,0
3,12,47,79,47,3,right+B,0.03556426987051964,0.21905864775180817,0.10242541134357452,0.6051942110061646,0.03775744140148163,1.1123149394989014,4.0,7.0,0,2,400,0,0,0,0,0,0
4,16,53,79,53,3,right+B,0.035867154598236084,0.21983861923217773,0.10368877649307251,0.6025620698928833,0.038043323904275894,1.1169860363006592,6.0,13.0,0,2,400,0,0,0,0,0,0
5,20,60,79,60,3,right+B,0.03536425530910492,0.21860559284687042,0.10199443995952606,0.6065622568130493,0.03747342526912689,1.109729528427124,6.0,19.0,0,2,399,0,0,0,0,0,0
6,24,70,79,70,1,right,0.03445399925112724,0.21648673713207245,0.09886109083890915,0.6134242415428162,0.03677402436733246,1.0973305702209473,10.0,29.0,0,2,399,0,0,0,0,0,0
7,28,81,79,81,3,right+B,0.035122063010931015,0.21752101182937622,0.1022319570183754,0.6069769859313965,0.03814791515469551,1.1102256774902344,11.0,40.0,0,2,399,0,0,0,0,0,0
8,32,93,97,93,2,right+A,0.035197023302316666,0.21985465288162231,0.10252939909696579,0.6043002605438232,0.03811861202120781,1.1132638454437256,12.0,52.0,0,2,399,0,0,0,0,0,0
9,36,105,115,105,1,right,0.041873637586832047,0.24844644963741302,0.13967077434062958,0.5182003974914551,0.05180879682302475,1.2478009462356567,12.0,64.0,0,2,399,0,0,0,0,0,0
10,40,117,121,117,2,right+A,0.04985405504703522,0.27261269092559814,0.26453471183776855,0.31063538789749146,0.1023632138967514,1.452068567276001,11.0,75.0,0,2,398,0,0,0,0,0,0
11,44,129,114,129,3,right+B,0.04658828675746918,0.2575485408306122,0.35059577226638794,0.1941271424293518,0.1511402726173401,1.463510274887085,12.0,87.0,0,2,398,0,0,0,0,0,0
12,48,141,94,141,2,right+A,0.04633478820323944,0.30751439929008484,0.2987827956676483,0.20552696287631989,0.14184102416038513,1.468108892440796,12.0,99.0,0,2,398,0,0,0,0,0,0
13,52,151,79,151,1,right,0.038510512560606,0.35119783878326416,0.16815494000911713,0.36537966132164,0.07675700634717941,1.3576302528381348,10.0,109.0,0,2,398,0,0,0,0,0,0
14,56,159,79,159,3,right+B,0.03319597244262695,0.3260425925254822,0.09766268730163574,0.4882243871688843,0.05487432703375816,1.2149659395217896,8.0,117.0,0,2,398,0,0,0,0,0,0
15,60,169,79,169,3,right+B,0.030663371086120605,0.28950491547584534,0.061495233327150345,0.5723931789398193,0.04594333469867706,1.0980913639068604,9.0,126.0,0,2,397,0,0,0,0,0,0
16,64,180,79,180,1,right,0.024969998747110367,0.2824050486087799,0.03598158806562424,0.6247955560684204,0.031847868114709854,0.9724811315536499,11.0,137.0,0,2,397,0,0,0,0,0,0
17,68,192,79,192,1,right,0.03046577051281929,0.2741242051124573,0.0435311496257782,0.6074706315994263,0.044408250600099564,1.0386602878570557,12.0,149.0,0,2,397,0,0,0,0,0,0
18,72,201,79,201,1,right,0.041922178119421005,0.28352224826812744,0.07701122760772705,0.5056763291358948,0.09186800569295883,1.2519117593765259,9.0,158.0,0,2,397,0,0,0,0,0,0
19,76,208,79,208,1,right,0.043370090425014496,0.2083524763584137,0.2842203378677368,0.1752481907606125,0.2888088822364807,1.4843528270721436,7.0,165.0,0,2,397,0,0,0,0,0,0
20,80,215,79,215,1,right,0.026804136112332344,0.1108282133936882,0.469197154045105,0.0626339390873909,0.3305366039276123,1.2353037595748901,6.0,171.0,0,2,396,0,0,0,0,0,0
21,84,222,93,222,2,right+A,0.012140720151364803,0.039772212505340576,0.6480768918991089,0.01766015589237213,0.2823500335216522,0.8912509083747864,7.0,178.0,0,2,396,0,0,0,0,0,0
22,88,229,109,229,2,right+A,0.011107100173830986,0.0336126871407032,0.6487398147583008,0.01181067805737257,0.29472970962524414,0.8572466373443604,7.0,185.0,0,2,396,0,0,0,0,0,0
23,92,236,123,236,2,right+A,0.008104031905531883,0.023569297045469284,0.6410282850265503,0.004791940562427044,0.3225063681602478,0.8029623627662659,7.0,192.0,0,2,396,0,0,0,0,0,0
24,96,242,132,242,1,right,0.027876120060682297,0.11142875254154205,0.518099844455719,0.06002473458647728,0.2825705111026764,1.2109776735305786,6.0,198.0,0,2,396,0,0,0,0,0,0
25,100,242,132,242,2,right+A,0.039774537086486816,0.21760457754135132,0.3543972373008728,0.18957291543483734,0.19865073263645172,1.4640637636184692,-1.0,197.0,1,2,395,0,0,0,0,0,0
26,104,242,124,242,3,right+B,0.03809691220521927,0.26766347885131836,0.1893855333328247,0.402317613363266,0.10253643244504929,1.3922514915466309,0.0,197.0,2,2,395,0,0,0,0,0,0
27,108,242,107,242,3,right+B,0.03132304176688194,0.2639964818954468,0.13813354074954987,0.4981200695037842,0.06842684000730515,1.264186978340149,0.0,197.0,3,2,395,0,0,0,0,0,0
28,112,243,87,243,4,right+A+B,0.032883353531360626,0.2603672742843628,0.15232546627521515,0.48263657093048096,0.0717872902750969,1.289980173110962,1.0,198.0,0,2,395,0,0,0,0,0,0
29,116,245,79,245,3,right+B,0.035989586263895035,0.2716914713382721,0.174873486161232,0.4330351650714874,0.08441035449504852,1.3497025966644287,2.0,200.0,0,2,395,0,0,0,0,0,0
30,120,249,79,249,1,right,0.03642471507191658,0.27216869592666626,0.1813684105873108,0.42337873578071594,0.08665946125984192,1.3603140115737915,3.0,203.0,0,2,394,0,0,0,0,0,0
31,124,255,93,255,2,right+A,0.03618248179554939,0.27445095777511597,0.1775955706834793,0.4276934862136841,0.08407758921384811,1.3533236980438232,6.0,209.0,0,2,394,0,0,0,0,0,0
32,128,261,109,261,2,right+A,0.03729007765650749,0.2792850434780121,0.2083369344472885,0.3658260405063629,0.10926184803247452,1.4154596328735352,6.0,215.0,0,2,394,0,0,0,0,0,0
33,132,268,123,268,2,right+A,0.040442053228616714,0.28311386704444885,0.21475990116596222,0.3416803479194641,0.12000386416912079,1.4387072324752808,7.0,222.0,0,2,394,0,0,0,0,0,0
34,136,275,133,275,2,right+A,0.04344949126243591,0.2848759889602661,0.3091275990009308,0.2110804319381714,0.15146642923355103,1.471114993095398,7.0,229.0,0,2,394,0,0,0,0,0,0
35,140,282,139,282,1,right,0.043101806193590164,0.2891598641872406,0.31695663928985596,0.20321069657802582,0.14757095277309418,1.4646706581115723,6.0,235.0,0,2,393,0,0,0,0,0,0
36,144,289,137,289,4,right+A+B,0.05147131532430649,0.2579241991043091,0.36894479393959045,0.15110348165035248,0.1705562025308609,1.4573047161102295,7.0,242.0,0,2,393,0,0,0,0,0,0
37,148,296,126,296,3,right+B,0.050041332840919495,0.20546825230121613,0.4197649657726288,0.11283162981271744,0.21189381182193756,1.4143683910369873,7.0,249.0,0,2,393,0,0,0,0,0,0
38,152,303,107,303,0,NOOP,0.05774962529540062,0.21540182828903198,0.358781099319458,0.159341961145401,0.20872551202774048,1.4828240871429443,7.0,256.0,0,2,393,0,0,0,0,0,0
39,156,310,87,310,4,right+A+B,0.05822272226214409,0.26081955432891846,0.22160397469997406,0.3412349224090576,0.11811886727809906,1.4692041873931885,7.0,263.0,0,2,393,0,0,0,0,0,0
40,160,317,79,317,1,right,0.04461217299103737,0.23896892368793488,0.12016372382640839,0.5347546935081482,0.06150047853589058,1.2416480779647827,6.0,269.0,0,2,392,0,0,0,0,0,0
41,164,324,93,324,2,right+A,0.050380639731884,0.2355477660894394,0.15437723696231842,0.4940527081489563,0.06564156711101532,1.3066818714141846,7.0,276.0,0,2,392,0,0,0,0,0,0
42,168,331,108,331,3,right+B,0.04353950545191765,0.2295294851064682,0.15245486795902252,0.5232304930686951,0.05124564468860626,1.252181887626648,7.0,283.0,0,2,392,0,0,0,0,0,0
43,172,338,113,338,2,right+A,0.03388753905892372,0.21359224617481232,0.10239371657371521,0.6239283680915833,0.026198120787739754,1.0675015449523926,7.0,290.0,0,2,392,0,0,0,0,0,0
44,176,345,107,345,3,right+B,0.025907224044203758,0.1866350769996643,0.07574618607759476,0.6958300471305847,0.015881439670920372,0.921517014503479,7.0,297.0,0,2,392,0,0,0,0,0,0
45,180,352,91,352,1,right,0.031005121767520905,0.21603474020957947,0.11517587304115295,0.6160836815834045,0.021700559183955193,1.0691981315612793,6.0,303.0,0,2,391,0,0,0,0,0,0
46,184,359,79,359,3,right+B,0.029666602611541748,0.19373352825641632,0.10426749289035797,0.6518950462341309,0.02043730579316616,1.0164926052093506,7.0,310.0,0,2,391,0,0,0,0,0,0
