decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins
1,4,40,79,40,3,right+B,0.03565302491188049,0.21899856626987457,0.10238822549581528,0.6052387356758118,0.0377214178442955,1.1123393774032593,0.0,0.0,1,2,400,0,0,0,0,0,0
2,8,43,79,43,1,right,0.035570673644542694,0.21903777122497559,0.10225701332092285,0.605468213558197,0.037666384130716324,1.111759901046753,3.0,3.0,0,2,400,0,0,0,0,0,0
3,12,47,79,47,3,right+B,0.03556426987051964,0.21905864775180817,0.10242541134357452,0.6051942110061646,0.03775744140148163,1.1123149394989014,4.0,7.0,0,2,400,0,0,0,0,0,0
4,16,53,79,53,3,right+B,0.035867154598236084,0.21983861923217773,0.10368877649307251,0.6025620698928833,0.038043323904275894,1.1169860363006592,6.0,13.0,0,2,400,0,0,0,0,0,0
5,20,60,79,60,3,right+B,0.03536425530910492,0.21860559284687042,0.10199443995952606,0.6065622568130493,0.03747342526912689,1.109729528427124,6.0,19.0,0,2,399,0,0,0,0,0,0
6,24,70,79,70,1,right,0.03445399925112724,0.21648673713207245,0.09886109083890915,0.6134242415428162,0.03677402436733246,1.0973305702209473,10.0,29.0,0,2,399,0,0,0,0,0,0
7,28,81,79,81,3,right+B,0.035122063010931015,0.21752101182937622,0.1022319570183754,0.6069769859313965,0.03814791515469551,1.1102256774902344,11.0,40.0,0,2,399,0,0,0,0,0,0
8,32,93,79,93,1,right,0.035197023302316666,0.21985465288162231,0.10252939909696579,0.6043002605438232,0.03811861202120781,1.1132638454437256,12.0,52.0,0,2,399,0,0,0,0,0,0
9,36,105,79,105,3,right+B,0.04153737798333168,0.24750320613384247,0.13790751993656158,0.5220199823379517,0.05103199928998947,1.2421265840530396,12.0,64.0,0,2,399,0,0,0,0,0,0
10,40,116,79,116,0,NOOP,0.049706533551216125,0.2719360888004303,0.2636302709579468,0.31259530782699585,0.10213173180818558,1.451298713684082,10.0,74.0,0,2,398,0,0,0,0,0,0
11,44,127,97,127,4,right+A+B,0.047582656145095825,0.2588711678981781,0.3519193232059479,0.19293329119682312,0.1486935168504715,1.463120698928833,11.0,85.0,0,2,398,0,0,0,0,0,0
12,48,139,117,139,4,right+A+B,0.04433772340416908,0.2762366235256195,0.3473738133907318,0.17198120057582855,0.16007064282894135,1.4568499326705933,12.0,97.0,0,2,398,0,0,0,0,0,0
13,52,151,133,151,2,right+A,0.04549509286880493,0.35648027062416077,0.20515307784080505,0.30123960971832275,0.09163197875022888,1.4136903285980225,12.0,109.0,0,2,398,0,0,0,0,0,0
14,56,163,145,163,3,right+B,0.03706591948866844,0.33916595578193665,0.11153499782085419,0.45789316296577454,0.05434005334973335,1.2494398355484009,12.0,121.0,0,2,398,0,0,0,0,0,0
15,60,175,144,175,1,right,0.03083028830587864,0.293435275554657,0.054900556802749634,0.5808049440383911,0.040028881281614304,1.0707749128341675,11.0,132.0,0,2,397,0,0,0,0,0,0
16,64,187,129,187,1,right,0.024810677394270897,0.2567899227142334,0.034022096544504166,0.6508662104606628,0.03351106122136116,0.9491522312164307,12.0,144.0,0,2,397,0,0,0,0,0,0
