elapsed_seconds,timesteps,return,length,max_x,completed,game_score,score_gain,coins,objective_reward_sum
10.609,2120732,3096.0,268,3161,1,800,800,2,5.8
10.641,2120740,3096.0,270,3161,1,800,800,2,5.8
10.66,2120744,3095.0,271,3161,1,700,700,2,5.7
10.969,2120816,3092.0,289,3161,1,700,700,2,5.7
21.449,2121812,3095.0,268,3161,1,700,700,2,5.7
22.008,2121924,3089.0,295,3161,1,800,800,2,5.8
22.285,2121980,3091.0,291,3161,1,700,700,2,5.7
23.075,2122088,2364.0,339,2469,0,800,800,2,-4.2
31.732,2122892,3096.0,270,3161,1,700,700,2,5.7
31.841,2122920,2676.0,235,2763,0,700,700,2,-4.3
32.335,2123040,3095.0,279,3161,1,800,800,2,5.8
33.405,2123292,3089.0,301,3161,1,700,700,2,5.7
34.875,2123604,1595.0,141,1671,0,500,500,1,-4.5
34.908,2123612,1948.0,173,2019,0,1100,1100,2,-3.9000000000000004
41.062,2124172,1595.0,142,1672,0,400,400,1,-4.6
41.407,2124244,817.0,158,900,0,300,300,0,-4.7
41.407,2124244,3082.0,338,3161,1,800,800,2,5.8
43.627,2124692,820.0,130,898,0,200,200,0,-4.8
46.143,2124800,3067.0,377,3161,1,500,500,1,5.5
46.492,2124880,1717.0,159,1794,0,600,600,1,-4.4
46.686,2124928,245.0,32,301,0,200,200,1,-4.8
47.429,2125036,250.0,27,313,0,0,0,0,-5.0
47.492,2125052,629.0,202,723,0,100,100,0,-4.9
48.995,2125352,1586.0,165,1673,0,300,300,0,-4.7
49.422,2125432,643.0,138,724,0,100,100,0,-4.9
50.818,2125668,815.0,158,898,0,300,300,0,-4.7
53.076,2125928,1434.0,219,1526,0,400,400,1,-4.6
53.34,2125984,736.0,138,820,0,100,100,0,-4.9
54.841,2126296,1716.0,157,1797,0,300,300,1,-4.7
55.998,2126592,656.0,74,724,0,100,100,0,-4.9
58.88,2126936,651.0,86,722,0,100,100,0,-4.9
60.809,2127496,1071.0,140,1153,0,300,300,0,-4.7
61.365,2127660,732.0,577,899,0,300,300,0,-4.7
67.419,2128476,697.0,245,800,0,200,200,0,-4.8
68.545,2128788,621.0,78,694,0,0,0,0,-5.0
72.541,2128920,242.0,33,299,0,200,200,1,-4.8
74.463,2129428,1282.0,442,1426,0,200,200,0,-4.8
74.921,2129536,246.0,27,309,0,0,0,0,-5.0
76.039,2129836,623.0,75,687,0,200,200,1,-4.8
79.275,2129944,250.0,27,313,0,0,0,0,-5.0
80.813,2130308,615.0,91,682,0,300,300,1,-4.7
83.17,2130892,1331.0,146,1413,0,200,200,0,-4.8
87.495,2131140,820.0,1289,1130,0,400,400,0,-4.6
89.605,2131620,1570.0,182,1656,0,300,300,1,-4.7
90.038,2131744,235.0,31,298,0,0,0,0,-5.0
94.632,2132220,799.0,270,899,0,300,300,1,-4.7
95.009,2132324,1445.0,145,1523,0,300,300,1,-4.7
95.767,2132532,652.0,78,722,0,0,0,0,-5.0
96.19,2132648,245.0,29,308,0,0,0,0,-5.0
96.45,2132712,627.0,97,696,0,200,200,1,-4.8
104.212,2133948,447.0,2005,899,0,300,300,0,-4.7
107.72,2134088,232.0,35,296,0,0,0,0,-5.0
108.134,2134208,253.0,30,316,0,0,0,0,-5.0
109.159,2134504,615.0,74,684,0,100,100,0,-4.9
110.841,2134988,1058.0,121,1138,0,100,100,0,-4.9
114.632,2135248,622.0,65,691,0,0,0,0,-5.0
115.504,2135496,1243.0,696,1434,0,600,600,0,-4.4
115.676,2135548,636.0,75,701,0,200,200,1,-4.8
115.898,2135616,249.0,30,311,0,0,0,0,-5.0
121.004,2136316,737.0,175,826,0,200,200,0,-4.8
121.057,2136332,731.0,196,826,0,100,100,0,-4.9
121.488,2136448,251.0,33,315,0,0,0,0,-5.0
121.913,2136568,253.0,30,310,0,200,200,1,-4.8
123.324,2136928,1208.0,2002,1662,0,400,400,0,-4.6
123.357,2136936,627.0,92,694,0,300,300,1,-4.7
128.943,2137556,815.0,155,900,0,0,0,0,-5.0
129.1,2137600,835.0,1238,1136,0,300,300,0,-4.7
129.404,2137684,251.0,32,315,0,0,0,0,-5.0
129.592,2137732,1119.0,350,1238,0,400,400,1,-4.6
129.976,2137840,1038.0,228,1138,0,100,100,0,-4.9
130.534,2137968,655.0,71,724,0,0,0,0,-5.0
133.956,2138100,241.0,33,304,0,0,0,0,-5.0
134.234,2138180,612.0,85,686,0,0,0,0,-5.0
134.901,2138372,595.0,160,682,0,100,100,0,-4.9
136.117,2138716,805.0,279,899,0,600,600,2,-4.4
137.01,2138976,1337.0,219,1435,0,300,300,0,-4.7
141.141,2139348,618.0,93,686,0,300,300,1,-4.7
147.06,2140236,725.0,466,874,0,200,200,0,-4.8
147.499,2140364,242.0,32,305,0,0,0,0,-5.0
153.463,2141208,638.0,623,819,0,100,100,0,-4.9
155.714,2141828,638.0,155,723,0,0,0,0,-5.0
156.108,2141944,258.0,29,314,0,200,200,1,-4.8
156.681,2142104,231.0,40,296,0,0,0,0,-5.0
174.709,2144620,634.0,1064,899,0,200,200,0,-4.8
182.874,2145940,687.0,1940,1126,0,400,400,0,-4.6
183.388,2146092,226.0,38,290,0,0,0,0,-5.0
183.958,2146252,231.0,40,295,0,0,0,0,-5.0
193.952,2147368,269.0,2005,723,0,100,100,0,-4.9
196.244,2148020,1084.0,1479,1432,0,500,500,0,-4.5
196.838,2148160,236.0,35,299,0,0,0,0,-5.0
200.393,2148352,803.0,246,898,0,400,400,1,-4.6
200.807,2148472,245.0,30,308,0,0,0,0,-5.0
202.938,2149080,644.0,152,722,0,200,200,1,-4.8
207.026,2149444,633.0,91,708,0,100,100,0,-4.9
207.534,2149584,246.0,35,311,0,0,0,0,-5.0
208.023,2149716,237.0,33,301,0,0,0,0,-5.0
216.36,2151240,1105.0,1247,1406,0,500,500,0,-4.5
226.837,2152640,521.0,2005,969,0,400,400,1,-4.6
229.169,2153236,633.0,149,711,0,300,300,1,-4.7
229.792,2153412,232.0,44,289,0,200,200,1,-4.8
240.528,2154692,1113.0,1244,1415,0,200,200,0,-4.8
241.069,2154840,239.0,37,296,0,200,200,1,-4.8
241.669,2155004,234.0,41,292,0,200,200,1,-4.8
249.092,2156180,448.0,2005,899,0,400,400,0,-4.6
250.725,2156504,635.0,81,709,0,0,0,0,-5.0
250.769,2156516,1556.0,378,1680,0,400,400,1,-4.6
256.288,2157136,815.0,155,899,0,100,100,0,-4.9
261.28,2157676,818.0,135,898,0,100,100,0,-4.9
262.273,2157960,616.0,71,687,0,100,100,0,-4.9
267.977,2158580,630.0,155,710,0,300,300,1,-4.7
269.811,2159056,463.0,1954,899,0,400,400,1,-4.6
275.416,2159808,809.0,188,899,0,200,200,0,-4.8
275.8,2159916,249.0,27,311,0,0,0,0,-5.0
277.032,2160264,684.0,421,815,0,400,400,1,-4.6
