time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance
2120684,162,1,28.475200000000005,257.85,6,,,,,,,,,,
2121708,130,2,27.466800000000003,258.07,15,1.1434268597513437,0.0322265625,0.0001,8263,0.2,-0.22986196540296078,0.2325945794582367,0.004687668522819877,0.0098754205,0.9795482158660889
2122732,116,3,26.358900000000002,258.93,26,1.441084086894989,0.0244140625,0.0001,8267,0.2,-0.33735417015850544,0.3052782118320465,0.0008679275924805552,0.009562122,0.4343893527984619
2123756,114,4,24.548299999999998,255.75,35,1.0463261678814888,0.042236328125,0.0001,8271,0.2,-0.5225721430033445,0.4424426257610321,-0.0033654159342404455,0.0136244595,0.5599569082260132
2124780,116,5,23.227800000000002,252.31,44,2.0028469721476236,0.05286458333333333,0.0001,8275,0.2,-0.619326921304067,0.7019291520118713,0.006836800696328282,0.023618162,0.2357918620109558
2125804,119,6,20.677300000000006,244.55,51,1.4052954316139221,0.09375,0.0001,8278,0.2,-0.9674340618981255,0.4925280213356018,0.008327578608360555,0.038504627,0.12219619750976562
2126828,125,7,19.248199999999997,239.53,56,2.408540630340576,0.11953125,0.0001,8280,0.2,-1.060862696170807,1.246229887008667,0.00961600337177515,0.031420156,0.14915955066680908
2127852,131,8,18.1771,239.16,62,1.050715446472168,0.21158854166666666,0.0001,8282,0.2,-1.3279634714126587,0.5598136782646179,0.006632399434844653,0.033895224,-0.06572294235229492
2128876,133,9,17.4599,237.0,68,0.6061365101486444,0.164306640625,0.0001,8286,0.2,-1.4255270138382912,0.26753681898117065,0.0022916648886166513,0.014624323,-0.06966197490692139
2129900,134,10,16.027500000000003,232.02,76,0.34214119520038366,0.10986328125,0.0001,8290,0.2,-1.3908491730690002,0.13166490197181702,-0.008194210531655699,0.011797868,0.14639508724212646
2130924,135,11,14.955,225.91,83,0.5322262495756149,0.026611328125,0.0001,8294,0.2,-1.345926195383072,0.09583292156457901,-0.003516930795740336,0.0047717188,0.23539412021636963
2131948,135,12,14.087800000000001,234.44,90,0.22479233425110579,0.033203125,0.0001,8298,0.2,-1.252406969666481,0.06427302956581116,-0.007293141301488504,0.0044760546,0.7103452086448669
2132972,136,13,12.911800000000003,231.73,97,0.39644561521708965,0.10791015625,0.0001,8302,0.2,-1.3293549716472626,0.1944221705198288,-0.003865195845719427,0.01770756,0.566680908203125
2133996,137,14,12.8396,251.51,104,0.5816281456500292,0.07177734375,0.0001,8306,0.2,-1.3677938804030418,0.2075120508670807,-0.005536924298212398,0.017064374,0.5495824813842773
2135020,138,15,11.811499999999999,246.8,110,0.22486051078885794,0.217041015625,0.0001,8310,0.2,-1.484894521534443,0.073550745844841,-0.011313289403915405,0.011044519,0.031197547912597656
2136044,139,16,10.7898,247.99,117,0.342320897616446,0.0478515625,0.0001,8314,0.2,-1.4388302564620972,0.1204407662153244,-0.003176986239850521,0.010051832,0.5207380056381226
2137068,140,17,8.850200000000001,258.02,123,0.22006728686392307,0.0654296875,0.0001,8318,0.2,-1.4466687887907028,0.06923388689756393,-0.0021509250218514353,0.0065114596,0.8058038353919983
2138092,140,18,6.7014999999999985,262.19,131,0.5169077292084694,0.14404296875,0.0001,8322,0.2,-1.4251074641942978,0.22165462374687195,-0.01050368687720038,0.010984581,0.5826816558837891
2139116,141,19,5.0539000000000005,256.93,137,0.5941971987485886,0.03662109375,0.0001,8326,0.2,-1.424051582813263,0.24553371965885162,-0.0035566216538427398,0.010207598,0.22784072160720825
2140140,142,20,4.6973,255.17,144,0.40448122657835484,0.099365234375,0.0001,8330,0.2,-1.4317040592432022,0.13528183102607727,-0.006322209490463138,0.013082513,0.13031816482543945
2141164,142,21,3.9801000000000006,254.74,150,0.11431962018832564,0.031982421875,0.0001,8334,0.2,-1.4560157507658005,0.028493963181972504,-0.006126237305579707,0.008533572,0.33562374114990234
2142188,143,22,2.544800000000001,252.15,157,0.19258712697774172,0.035400390625,0.0001,8338,0.2,-1.4310716912150383,0.058742303401231766,-0.007481977576389909,0.009082134,0.3431115746498108
2143212,144,23,2.544800000000001,252.15,163,0.29985957965254784,0.03369140625,0.0001,8342,0.2,-1.4143847823143005,0.15155062079429626,-0.0037125849921721965,0.006966079,0.4227331280708313
2144236,144,24,2.544800000000001,252.15,170,0.043309966975357383,0.00146484375,0.0001,8346,0.2,-1.4302487447857857,-0.007880305871367455,-0.0009254983451683074,0.002653179,0.5604677200317383
2145260,144,25,2.1872000000000003,260.1,177,0.008704838153789751,0.025390625,0.0001,8350,0.2,-1.4920145645737648,-0.018550481647253036,-0.0009921239106915891,0.0073619504,0.8801587224006653
2146284,144,26,1.1131000000000002,271.88,184,0.15046921046450734,0.00537109375,0.0001,8354,0.2,-1.484357014298439,0.08550990372896194,-0.002839560795109719,0.0013050643,0.0042528510093688965
2147308,144,27,1.1131000000000002,271.88,190,0.27753331372514367,0.0068359375,0.0001,8358,0.2,-1.4332839772105217,0.038524091243743896,-0.0048671860713511705,0.0034464607,0.2515305280685425
2148332,145,28,0.04280000000000007,297.86,197,0.02945218438981101,0.058837890625,0.0001,8362,0.2,-1.4746447205543518,-0.0034404871985316277,-0.004762934258906171,0.007885246,0.6813022494316101
2149356,145,29,-1.0294999999999996,293.86,203,0.2980861868709326,0.1181640625,0.0001,8366,0.2,-1.4614328294992447,0.07853186130523682,-0.005096398381283507,0.016842589,0.4295092821121216
